ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps_ttm,total_mv,circ_mv,mom_1d,mom_5d,mom_10d,mom_20d,mom_60d,ma_5_ratio,ma_5_slope,ma_10_ratio,ma_10_slope,ma_20_ratio,ma_20_slope,ma_60_ratio,ma_60_slope,macd,macd_signal,macd_hist,rsi_14,kdj_k,kdj_d,kdj_j,boll_upper,boll_lower,boll_width,boll_position,amplitude,body_ratio,upper_shadow,lower_shadow,close_to_high_20d,close_to_low_20d,close_to_high_60d,close_to_low_60d,bbi,bbi_bull,vol_ma5_ratio,amt_ma5_ratio,fwd_ret_1d,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d
920509.BJ,2023-01-03,13.58,13.58,13.39,13.48,13.58,-0.1,-0.7364,165.4,223.052,0.0307,0.0451,0.48,34.8882,30.6624,4.5408,8.6107,146592.4577,72687.6163,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.014094955489614206,-0.007418397626112733,0.0,0.006676557863501473,,,,,,0,,,0.0014836795252224366,0.005192878338278861,-0.008160237388724179,0.004451038575667532
920509.BJ,2023-01-04,13.4,13.59,13.29,13.5,13.48,0.02,0.1484,274.2,365.492,0.0509,0.0748,0.83,34.94,30.7079,4.5475,8.6235,146809.9539,72795.4614,0.0014836795252224366,,,,,,,,,,,,,0.0004487179487178139,0.0002492877492876744,0.0001994301994301395,,,,,,,,,0.022222222222222275,0.007407407407407381,0.006666666666666656,0.008148148148148238,,,,,,0,,,0.0037037037037037646,0.004444444444444473,-0.008888888888888835,-0.0007407407407407085
920509.BJ,2023-01-05,13.22,13.58,13.22,13.55,13.5,0.05,0.3704,375.28,507.541,0.0696,0.1024,0.98,35.0694,30.8217,4.5644,8.6555,147353.6945,73065.0742,0.0037037037037037646,,,,,,,,,,,,,0.0021222527394346713,0.0010168963518069354,0.001105356387627736,,,,,,,,,0.026568265682656782,0.024354243542435428,0.002214022140221355,0.0,,,,,,0,,,-0.0014760147601476925,0.0014760147601475815,-0.012546125461254554,-0.0073800738007381295
920509.BJ,2023-01-06,13.83,13.83,13.32,13.53,13.55,-0.02,-0.1476,305.2,407.915,0.0566,0.0833,0.69,35.0177,30.7762,4.5576,8.6427,147136.1982,72957.2291,-0.0014760147601476925,,,,,,,,,,,,,0.0021093057607100008,0.0013869537396467271,0.0007223520210632736,,,,,,,,,0.03769401330376939,-0.02217294900221735,0.0,0.01552106430155204,,,,,,0,,,0.0044345898004434225,-0.02365114560236503,0.0007390983000739038,-0.012564671101256475
920509.BJ,2023-01-09,13.26,13.66,13.2,13.59,13.53,0.06,0.4435,596.66,803.392,0.1107,0.1628,1.62,35.1729,30.9126,4.5778,8.681,147788.6869,73280.7645,0.0044345898004434225,,,,,1.0044345898004434,,,,,,,,0.004445402455893088,0.0022967730864596617,0.0021486293694334265,,,,,,,,,0.03384841795437828,0.024282560706401772,0.00515084621044888,0.00441501103752763,,,,,,0,1.7377704253410535,1.740909216986104,-0.0029433406916850036,-0.027961736571007978,-0.0007358351729211954,-0.005886681383370118
920509.BJ,2023-01-10,13.55,13.59,13.39,13.55,13.59,-0.04,-0.2943,157.91,214.08,0.0293,0.0431,0.46,35.0694,30.8217,4.5644,8.6555,147353.6945,73065.0742,-0.0029433406916850036,0.005192878338278861,,,,1.0004430005906675,,,,,,,,0.004055731173844279,0.0027735485243187063,0.0012821826495255728,,,,,,,,,0.014760147601475962,0.0,0.00295202952029514,0.011808118081180822,,,,,,0,0.4619277460874653,0.46571122771295065,0.0007380073800737907,-0.013284132841328566,0.019926199261992572,-0.0036900369003690647
920509.BJ,2023-01-11,13.76,13.76,13.49,13.56,13.55,0.01,0.0738,48.0,64.985,0.0089,0.0131,0.14,35.0953,30.8444,4.5677,8.6618,147462.4426,73118.9968,0.0007380073800737907,0.004444444444444473,,,,1.0002950722927118,,,,,,,,0.004188989478137728,0.0031317588692017207,0.0010572306089360072,,,,,,,,,0.01991150442477873,-0.014749262536873104,0.0,0.0051622418879056255,,,,,,0,0.1618286639020937,0.16263220670769946,0.0007374631268437515,-0.013274336283185861,0.009587020648967437,-0.005162241887905594
920509.BJ,2023-01-12,13.56,13.6,13.56,13.57,13.56,0.01,0.0737,158.27,214.669,0.0294,0.0432,0.53,35.1212,30.8671,4.5711,8.6682,147571.1907,73172.9193,0.0007374631268437515,0.0014760147601475815,,,,1.0007374631268438,,,,,,,,0.004686587963568911,0.003505413539145757,0.0011811744244231543,,,,,,,,,0.002947678703021308,0.000736919675755327,0.0022107590272659808,0.0,,,,,,0,0.6250592398344444,0.6295127213949694,-0.02652910832719224,-0.014001473839351464,-0.0014738393515106862,-0.014001473839351464
920509.BJ,2023-01-13,13.63,13.63,13.21,13.21,13.57,-0.36,-2.6529,425.73,569.075,0.079,0.1162,1.68,34.1894,30.0483,4.4498,8.4383,143656.2586,71231.707,-0.02652910832719224,-0.02365114560236503,,,,0.9788085358624778,,,,,,,,-0.012901053290592657,-0.0002845616914254714,-0.012616491599167185,,1.5873015621065703,1.5873015621065703,1.5873015621065703,,,,,0.03179409538228614,-0.03179409538228614,0.0,0.0,,,,,,0,1.5351911551526431,1.5246883910146871,0.0,0.024981074943224657,0.025738077214231714,0.009084027252081794
920509.BJ,2023-01-16,13.22,13.49,13.21,13.21,13.21,0.0,0.0,193.8,258.353,0.0359,0.0529,0.7,34.1894,30.0483,4.4498,8.4383,143656.2586,71231.707,0.0,-0.027961736571007978,,,,0.9843517138599105,-0.008130081300812941,0.9803339517625232,,,,,,-0.02518955844135462,-0.005864726696486859,-0.019324831744867762,,1.5873015621065703,1.5873015621065703,1.5873015621065703,,,,,0.021196063588190716,-0.0007570022710067969,0.02043906131718392,0.0,,,,,,0,0.9850464059529741,0.9777491329602275,0.012112036336108911,0.028009084027251996,0.025738077214231714,0.0037850113550339515
