symbol,ts_code,name,data_asof,close,pct_chg,m_DIF,m_DEA,m_HIST,m_rel_max_pct,m_rel_dif_pct,m_dif_abs_pctile,w_DIF,w_DEA,w_HIST,w_bull,w_x_1,w_x_2,w_x_3,w_x_4,w_x_8,m_near_3,m_near_5,m_near_8,m_zero_side
300476,300476.SZ,胜宏科技,2026-07-14,290.28,6.33,72.0196,66.4606,11.1181,24.81,24.81,0.953,9.6797,18.2364,-17.1134,False,,,,,,False,False,False,above
300496,300496.SZ,中科创达,2026-07-14,53.72,-3.73,-2.1433,-2.0245,-0.2376,3.99,3.99,0.279,-2.1147,-1.2857,-1.6579,False,,,,,,False,True,True,below
300502,300502.SZ,新易盛,2026-07-14,568.82,10.99,129.2959,99.9818,58.6283,22.731,22.731,1.0,45.6758,58.081,-24.8104,False,,,,,,False,False,False,above
300548,300548.SZ,长芯博创,2026-07-14,213.89,3.47,52.601,39.0793,27.0432,24.593,24.593,0.977,22.6643,28.9679,-12.6072,False,,,,,4.0,False,False,False,above
300604,300604.SZ,长川科技,2026-07-14,335.62,3.19,59.0664,31.7187,54.6954,17.599,17.599,1.0,55.5398,41.0436,28.9925,True,,,,,,False,False,False,above
300724,300724.SZ,捷佳伟创,2026-07-14,58.68,-0.73,1.1736,3.1626,-3.978,5.39,2.0,0.14,-10.3577,-6.1785,-8.3585,False,,,,,,False,False,True,above
300748,300748.SZ,金力永磁,2026-07-14,27.26,2.67,2.5824,3.007,-0.8493,11.031,9.473,0.372,-1.0896,-0.5384,-1.1024,False,,,,,,False,False,False,above
300750,300750.SZ,宁德时代,2026-07-14,364.01,1.38,33.9204,26.4675,14.9058,9.319,9.319,0.488,-0.0,9.5748,-19.1497,False,,,,,,False,False,False,above
300759,300759.SZ,康龙化成,2026-07-14,36.93,8.36,-0.9443,-2.1832,2.4778,5.912,2.557,0.047,0.4088,-0.6298,2.0773,True,,1.0,1.0,1.0,1.0,False,False,True,below
300760,300760.SZ,迈瑞医疗,2026-07-14,139.96,0.2,-33.4377,-27.4765,-11.9223,23.891,23.891,1.0,-14.76,-14.6928,-0.1344,False,,,,,,False,False,False,below
300763,300763.SZ,锦浪科技,2026-07-14,62.81,1.82,1.1767,-1.9619,6.2773,3.124,1.873,0.093,-2.6471,2.5106,-10.3154,False,,,,,,False,True,True,above
300782,300782.SZ,卓胜微,2026-07-14,86.71,-1.41,-0.4507,-4.4004,7.8994,5.075,0.52,0.093,3.3988,6.0293,-5.2611,False,,,,,,False,False,True,below
300803,300803.SZ,指南针,2026-07-14,79.1,1.02,6.474,12.0893,-11.2306,15.284,8.185,0.651,-8.4257,-7.3354,-2.1806,False,,,,,,False,False,False,above
300857,300857.SZ,协创数据,2026-07-14,269.83,2.66,56.6388,43.7299,25.8178,20.991,20.991,1.0,24.2275,25.5942,-2.7335,False,,,,3.0,3.0,False,False,False,above
301236,301236.SZ,软通动力,2026-07-14,39.51,-4.03,-2.0074,0.1517,-4.318,5.081,5.081,0.558,-1.8286,-2.3883,1.1194,True,,,,,5.0,False,False,True,below
301308,301308.SZ,江波龙,2026-07-14,538.51,3.15,117.6403,72.443,90.3947,21.846,21.846,1.0,84.8287,81.0303,7.5969,True,,,,,,False,False,False,above
302132,302132.SZ,中航成飞,2026-07-14,52.52,-3.03,2.4332,7.1442,-9.4219,13.603,4.633,0.047,-5.5333,-4.6909,-1.685,False,,,,,,False,False,False,above
688008,688008.SH,澜起科技,2026-07-14,270.0,6.81,47.7957,30.6903,34.2108,17.702,17.702,1.0,34.818,30.2084,9.2191,True,,,,,,False,False,False,above
688009,688009.SH,中国通号,2026-07-14,5.02,1.21,-0.1056,-0.0297,-0.1517,2.103,2.103,0.581,-0.1444,-0.1312,-0.0264,False,,,,,,True,True,True,below
688012,688012.SH,中微公司,2026-07-14,405.3,-0.81,60.3129,45.82,28.9858,14.881,14.881,1.0,27.1835,22.7589,8.8491,True,,,2.0,2.0,2.0,False,False,False,above
688017,688017.SH,绿的谐波,2026-07-14,386.87,1.94,55.6287,30.7582,49.7411,14.379,14.379,1.0,59.8285,48.3174,23.0221,True,,,,,,False,False,False,above
