ts_code,trade_date,pe,pe_ttm,total_mv,circ_mv
920394.BJ,20260303,71.159,55.8155,715308.75,710040.2235
920394.BJ,20260302,78.128,61.2818,785362.5,779578.0004
920394.BJ,20260227,80.6595,63.2674,810810.0,804838.0697
920394.BJ,20260226,83.0746,69.041,835087.5,828936.7565
920394.BJ,20260225,85.548,71.0966,859950.0,853616.1346
920394.BJ,20260224,83.773,69.6214,842107.5,835905.0515
920394.BJ,20260213,82.9291,68.9201,833625.0,827485.0284
920394.BJ,20260212,83.4966,69.3917,839328.75,833146.7681
920394.BJ,20260211,85.8244,71.3263,862728.75,856374.418
920394.BJ,20260210,79.1464,65.7764,795600.0,789740.0973
920394.BJ,20260209,80.0339,66.514,804521.25,798595.6388
920394.BJ,20260206,83.7875,69.6335,842253.75,836050.2243
920394.BJ,20260205,82.2162,68.3277,826458.75,820371.5606
920394.BJ,20260204,84.3986,70.1413,848396.25,842147.4824
920394.BJ,20260203,87.4684,72.6926,879255.0,872778.9457
920394.BJ,20260202,83.6566,69.5247,840937.5,834743.669
920394.BJ,20260130,86.2318,71.6648,866823.75,860439.2567
920394.BJ,20260129,80.8632,67.2032,812857.5,806870.4891
920394.BJ,20260128,85.2279,70.8305,856732.5,850422.3327
920394.BJ,20260127,86.8719,72.1969,873258.75,866826.8605
920394.BJ,20260126,88.2104,73.3092,886713.75,880182.7592
920394.BJ,20260123,91.804,76.2958,922837.5,916040.4437
920394.BJ,20260122,82.6382,68.6783,830700.0,824581.5722
920394.BJ,20260121,77.1823,64.1441,775856.25,770141.7677
920394.BJ,20260120,82.2017,68.3156,826312.5,820226.3878
920394.BJ,20260119,84.4859,70.2139,849273.75,843018.5193
920394.BJ,20260116,79.2919,65.8973,797062.5,791191.8254
920394.BJ,20260115,77.1096,64.0836,775125.0,769415.9036
920394.BJ,20260114,83.5402,69.428,839767.5,833582.2865
920394.BJ,20260113,73.8215,61.351,742072.5,736606.8481
920394.BJ,20260112,68.7003,57.0949,690592.5,685506.0183
920394.BJ,20260109,68.8457,57.2158,692055.0,686957.7464
920394.BJ,20260108,65.6159,54.5315,659587.5,654729.3821
920394.BJ,20260107,64.2919,53.4312,646278.75,641518.6562
920394.BJ,20260106,63.3171,52.6211,636480.0,631792.0778
920394.BJ,20260105,64.7284,53.794,650666.25,645873.8406
920394.BJ,20251231,59.5344,49.4774,598455.0,594047.1467
920394.BJ,20251230,56.8865,47.2768,571837.5,567625.6949
920394.BJ,20251229,57.7449,47.9902,580466.25,576190.8908
920394.BJ,20251226,56.4209,46.8899,567157.5,562980.1649
920394.BJ,20251225,57.9049,48.1232,582075.0,577787.7918
920394.BJ,20251224,55.8681,46.4304,561600.0,557463.5981
920394.BJ,20251223,52.6673,43.7703,529425.0,525525.5794
920394.BJ,20251222,53.6421,44.5804,539223.75,535252.1578
920394.BJ,20251219,54.3404,45.1608,546243.75,542220.4528
920394.BJ,20251218,54.3113,45.1366,545951.25,541930.1072
920394.BJ,20251217,54.2095,45.052,544927.5,540913.8975
920394.BJ,20251216,54.9224,45.6445,552093.75,548027.3653
920394.BJ,20251215,54.9224,45.6445,552093.75,548027.3653
920394.BJ,20251212,53.6421,44.5804,539223.75,535252.1578
920394.BJ,20251211,53.8312,44.7376,541125.0,537139.4044
920394.BJ,20251210,51.9544,43.1779,522258.75,518412.1117
920394.BJ,20251209,52.7546,43.8429,530302.5,526396.6163
920394.BJ,20251208,53.482,44.4474,537615.0,533655.2569
920394.BJ,20251205,52.2599,43.4318,525330.0,521460.7407
920394.BJ,20251204,51.3288,42.6579,515970.0,512169.6807
920394.BJ,20251203,52.2308,43.4076,525037.5,521170.3951
920394.BJ,20251202,52.9292,43.988,532057.5,528138.6901
920394.BJ,20251201,53.0165,44.0605,532935.0,529009.7269
920394.BJ,20251128,52.6382,43.7461,529132.5,525235.2338
920394.BJ,20251127,52.3181,43.4801,525915.0,522041.432
920394.BJ,20251126,53.3365,44.3265,536152.5,532203.5288
920394.BJ,20251125,52.6964,43.7945,529717.5,525815.9251
920394.BJ,20251124,53.5257,44.4837,538053.75,534090.7753
920394.BJ,20251121,54.4132,45.2213,546975.0,542946.3169
920394.BJ,20251120,56.8865,47.2768,571837.5,567625.6949
920394.BJ,20251119,56.2318,46.7327,565256.25,561092.9184
920394.BJ,20251118,57.3084,47.6274,576078.75,571835.7065
920394.BJ,20251117,58.4723,48.5947,587778.75,582006.4613
920394.BJ,20251114,57.7012,47.9539,580027.5,574331.3325
920394.BJ,20251113,58.9088,48.9575,592166.25,586350.8738
920394.BJ,20251112,57.7449,47.9902,580466.25,574765.7738
920394.BJ,20251111,58.4869,48.6068,587925.0,582151.275
920394.BJ,20251110,58.8506,48.9091,591581.25,585771.6188
920394.BJ,20251107,60.8147,50.5414,611325.0,605321.475
920394.BJ,20251106,61.9786,51.5087,623025.0,616906.575
920394.BJ,20251105,61.3239,50.9646,616443.75,610389.9563
920394.BJ,20251104,60.16,49.9973,604743.75,598804.8563
920394.BJ,20251103,60.8293,50.5535,611471.25,605466.2888
920394.BJ,20251031,61.5276,51.1339,618491.25,612417.3488
920394.BJ,20251030,59.3889,49.3565,596992.5,591129.7275
920394.BJ,20251029,60.5674,50.3359,608838.75,602859.6413
920394.BJ,20251028,56.6101,47.0471,569058.75,563470.3013
920394.BJ,20251027,57.9777,48.1836,582806.25,577082.7938
920394.BJ,20251024,57.8322,48.0627,581343.75,575634.6563
920394.BJ,20251023,58.0504,48.2441,583537.5,577806.8625
920394.BJ,20251022,59.8981,49.7797,602111.25,596198.2088
920394.BJ,20251021,57.323,47.6395,576225.0,570566.175
920394.BJ,20251020,56.6683,47.0954,569643.75,564049.5563
920394.BJ,20251017,57.0174,47.3856,573153.75,567525.0863
920394.BJ,20251016,60.0873,50.6495,604012.5,598080.7875
920394.BJ,20251015,61.9786,52.2438,623025.0,616906.575
920394.BJ,20251014,62.9534,53.0655,632823.75,626609.0963
920394.BJ,20251013,62.7206,52.8692,630483.75,624292.0763
920394.BJ,20251010,62.0368,52.2928,623610.0,617485.83
920394.BJ,20251009,61.1202,51.5202,614396.25,608362.5638
920394.BJ,20250930,58.225,49.0797,585292.5,579544.6275
920394.BJ,20250929,58.3414,49.1778,586462.5,580703.1375
920394.BJ,20250926,60.6983,51.1646,610155.0,604162.965
920394.BJ,20250925,60.9602,51.3853,612787.5,606769.6125
920394.BJ,20250924,57.8176,48.7363,581197.5,575489.8425
920394.BJ,20250923,56.45,47.5835,567450.0,561877.35
920394.BJ,20250922,58.1959,49.0552,585000.0,579255.0
920394.BJ,20250919,59.8254,50.4287,601380.0,595474.14
920394.BJ,20250918,59.8981,50.4901,602111.25,596198.2088
920394.BJ,20250917,61.6876,51.9985,620100.0,614010.3
920394.BJ,20250916,61.3385,51.7042,616590.0,610534.77
920394.BJ,20250915,62.0223,52.2806,623463.75,617341.0163
920394.BJ,20250912,61.2512,51.6306,615712.5,609665.8875
920394.BJ,20250911,61.9641,52.2315,622878.75,616761.7613
920394.BJ,20250910,62.4151,52.6117,627412.5,621250.9875
920394.BJ,20250909,61.4549,51.8023,617760.0,202556.64
920394.BJ,20250908,63.6663,53.6664,639990.0,209845.61
920394.BJ,20250905,64.452,54.3286,647887.5,212435.1125
920394.BJ,20250904,63.7391,53.7277,640721.25,210085.3788
920394.BJ,20250903,62.2696,52.4891,625950.0,205242.05
920394.BJ,20250902,63.7391,53.7277,640721.25,210085.3788
920394.BJ,20250901,65.0485,54.8314,653883.75,214401.2163
920394.BJ,20250829,67.5218,56.9163,678746.25,222553.3538
920394.BJ,20250828,65.0339,54.8192,653737.5,214353.2625
920394.BJ,20250827,66.2851,55.8739,666315.0,218477.285
920394.BJ,20250826,67.289,56.7201,676406.25,221786.0938
920394.BJ,20250825,68.3365,57.6031,686936.25,225238.7638
920394.BJ,20250822,69.4422,58.5351,698051.25,228883.2488
920394.BJ,20250821,68.8748,58.0568,692347.5,227013.0525
920394.BJ,20250820,70.4898,59.4181,708581.25,232335.9188
920394.BJ,20250819,69.8496,58.8785,702146.25,230225.9538
920394.BJ,20250818,64.903,54.7088,652421.25,213921.6788
920394.BJ,20250815,63.2153,53.2862,635456.25,208359.0438
920394.BJ,20250814,61.644,51.9617,619661.25,203180.0388
920394.BJ,20250813,62.4151,52.6117,627412.5,205721.5875
920394.BJ,20250812,62.968,53.0777,632970.0,207543.83
920394.BJ,20250811,63.7536,53.74,640867.5,210133.3325
920394.BJ,20250808,63.0989,53.1881,634286.25,207975.4138
920394.BJ,20250807,64.2337,54.1447,645693.75,211715.8063
