ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688367.SH,2025-05-13,17.14,17.2,16.89,17.01,17.01,0.0,0.0,6399.35,10877.733,0.7303,0.48,56.7297,2.4984,149049.4446
688367.SH,2025-05-14,16.9,17.08,16.82,16.85,17.01,-0.16,-0.9406,6217.41,10502.846,0.7096,0.59,56.1961,2.4749,147647.451
688367.SH,2025-05-15,16.8,16.99,16.76,16.86,16.85,0.01,0.0593,4805.28,8100.51,0.5484,0.54,56.2294,2.4764,147735.0756
688367.SH,2025-05-16,16.91,17.09,16.8,16.9,16.86,0.04,0.2372,7347.5,12491.414,0.8385,0.95,56.3628,2.4823,148085.574
688367.SH,2025-05-19,17.09,17.22,16.9,17.11,16.9,0.21,1.2426,8122.22,13871.783,0.9269,1.19,57.0632,2.5131,149925.6906
688367.SH,2025-05-20,17.11,17.37,17.03,17.31,17.11,0.2,1.1689,6702.88,11587.839,0.765,1.02,57.7302,2.5425,151678.1826
688367.SH,2025-05-21,17.39,17.39,17.11,17.29,17.31,-0.02,-0.1155,6040.09,10418.202,0.6893,0.91,57.6635,2.5395,151502.9334
688367.SH,2025-05-22,17.35,17.46,16.97,17.05,17.29,-0.24,-1.3881,7708.62,13224.884,0.8797,1.17,56.8631,2.5043,149399.943
688367.SH,2025-05-23,17.0,17.25,16.79,16.84,17.05,-0.21,-1.2317,11909.16,20254.194,1.3591,1.66,56.1627,2.4734,147559.8264
688367.SH,2025-05-26,16.92,17.22,16.86,16.96,16.84,0.12,0.7126,8923.81,15168.308,1.0184,1.1,56.5629,2.4911,148611.3216
688367.SH,2025-05-27,16.89,17.15,16.87,17.04,16.96,0.08,0.4717,5858.13,9968.039,0.6685,0.71,56.8297,2.5028,149312.3184
688367.SH,2025-05-28,17.15,17.26,16.88,17.04,17.04,0.0,0.0,5981.91,10189.366,0.6827,0.74,56.8297,2.5028,149312.3184
688367.SH,2025-05-29,16.91,17.3,16.91,17.24,17.04,0.2,1.1737,6663.97,11476.302,0.7605,0.83,57.4968,2.5322,151064.8104
688367.SH,2025-05-30,17.21,17.24,16.96,17.09,17.24,-0.15,-0.8701,6569.51,11229.95,0.7497,0.84,56.9965,2.5102,149750.4414
