ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688088.SH,2025-05-13,46.13,46.74,45.5,45.62,45.6,0.02,0.0439,55939.52,257538.487,1.3944,0.92,103.5816,6.6151,1830139.3648
688088.SH,2025-05-14,45.85,46.48,45.4,45.88,45.62,0.26,0.5699,41725.04,191452.131,1.0401,0.78,104.1719,6.6528,1840569.7952
688088.SH,2025-05-15,45.94,46.07,44.07,44.23,45.88,-1.65,-3.5963,34874.04,155837.217,0.8693,0.71,100.4256,6.4136,1774376.6792
688088.SH,2025-05-16,44.09,46.64,43.8,45.6,44.23,1.37,3.0974,59849.59,270898.305,1.4919,1.31,103.5362,6.6122,1829337.024
688088.SH,2025-05-19,45.35,45.6,43.3,43.9,45.6,-1.7,-3.7281,65350.65,286974.945,1.629,1.3,99.6763,6.3657,1761138.056
688088.SH,2025-05-20,43.9,44.55,43.36,43.89,43.9,-0.01,-0.0228,37133.38,163633.653,0.9256,0.72,99.6536,6.3643,1760736.8856
688088.SH,2025-05-21,44.1,44.28,43.5,44.1,43.89,0.21,0.4785,26548.77,116634.174,0.6618,0.56,100.1304,6.3947,1769161.464
688088.SH,2025-05-22,43.94,45.45,43.8,44.61,44.1,0.51,1.1565,48508.08,217443.441,1.2092,1.08,101.2884,6.4687,1789621.1544
688088.SH,2025-05-23,44.88,45.39,43.61,43.7,44.61,-0.91,-2.0399,45596.08,202879.024,1.1366,0.96,99.2222,6.3367,1753114.648
688088.SH,2025-05-26,43.58,44.15,43.25,43.66,43.7,-0.04,-0.0915,29947.18,130634.034,0.7465,0.67,99.1314,6.3309,1751509.9664
688088.SH,2025-05-27,43.88,43.89,42.42,42.7,43.66,-0.96,-2.1988,28080.35,120359.521,0.7,0.75,96.9516,6.1917,1712997.608
688088.SH,2025-05-28,42.97,43.56,42.55,42.91,42.7,0.21,0.4918,27804.43,119742.96,0.6931,0.78,97.4285,6.2222,1721422.1864
688088.SH,2025-05-29,43.0,43.9,42.5,43.74,42.91,0.83,1.9343,31250.24,136080.746,0.779,0.87,99.313,6.3425,1754719.3296
688088.SH,2025-05-30,43.73,43.73,42.66,43.0,43.74,-0.74,-1.6918,28654.71,123491.814,0.7143,0.88,97.6328,6.2352,1725032.72
688088.SH,2025-06-03,42.81,43.75,42.71,43.18,43.0,0.18,0.4186,33875.0,146885.969,0.8444,1.16,98.0415,6.2613,1732253.7872
688088.SH,2025-06-04,43.24,44.3,42.91,43.48,43.18,0.3,0.6948,41016.51,178506.286,1.0224,1.37,98.7227,6.3048,1744288.8992
