ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688107.SH,2025-05-13,28.48,28.49,27.3,27.37,27.96,-0.59,-2.1102,32583.82,90413.89,0.8129,1.03,,9.4978,1097124.7175
688107.SH,2025-05-14,27.39,27.67,26.96,27.23,27.37,-0.14,-0.5115,23137.26,63030.934,0.5772,0.71,,9.4492,1091512.8263
688107.SH,2025-05-15,27.58,27.58,26.68,26.7,27.23,-0.53,-1.9464,20354.61,54795.655,0.5078,0.66,,9.2653,1070267.8099
688107.SH,2025-05-16,26.67,27.09,26.65,26.8,26.7,0.1,0.3745,15435.79,41519.114,0.3851,0.52,,9.3,1074276.3036
688107.SH,2025-05-19,26.77,27.08,26.43,26.99,26.8,0.19,0.709,20201.55,54124.064,0.504,0.81,,9.3659,1081892.4415
688107.SH,2025-05-20,26.98,27.13,26.71,26.97,26.99,-0.02,-0.0741,18623.21,50188.83,0.4646,0.83,,9.359,1081090.7428
688107.SH,2025-05-21,26.92,27.0,26.47,26.82,26.97,-0.15,-0.5562,19388.93,51758.289,0.4837,0.99,,9.3069,1075078.0023
688107.SH,2025-05-22,26.48,27.2,26.48,26.56,26.82,-0.26,-0.9694,19519.79,52317.745,0.487,1.04,,9.2167,1064655.9188
688107.SH,2025-05-23,26.56,26.69,25.91,25.94,26.56,-0.62,-2.3343,22112.2,58197.261,0.5516,1.19,,9.0016,1039803.258
688107.SH,2025-05-26,25.94,26.43,25.93,26.39,25.94,0.45,1.7348,13440.36,35242.032,0.3353,0.67,,9.1577,1057841.4795
688107.SH,2025-05-27,26.33,26.33,25.97,26.11,26.39,-0.28,-1.061,13063.01,34124.292,0.3259,0.7,,9.0606,1046617.6972
688107.SH,2025-05-28,26.2,26.29,25.78,25.9,26.11,-0.21,-0.8043,11338.79,29408.771,0.2829,0.65,,8.9877,1038199.8605
688107.SH,2025-05-29,26.89,27.89,26.71,27.46,25.9,1.56,6.0232,82369.59,225559.669,2.0549,5.18,,9.529,1100732.3618
688107.SH,2025-05-30,27.29,27.29,26.17,26.58,27.46,-0.88,-3.2047,43323.07,115212.137,1.0808,1.52,,9.2237,1065457.6175
688107.SH,2025-06-03,26.51,27.77,26.21,27.29,26.58,0.71,2.6712,53402.15,145983.208,1.3322,1.63,,9.47,1093917.9225
688107.SH,2025-06-04,27.1,27.41,26.92,27.22,27.29,-0.07,-0.2565,28401.31,77196.587,0.7085,0.7,,9.4458,1091111.977
688107.SH,2025-06-05,27.39,27.57,26.96,27.47,27.22,0.25,0.9184,32188.76,87806.386,0.803,0.74,,9.5325,1101133.2111
688107.SH,2025-06-06,27.4,27.53,26.96,27.06,27.47,-0.41,-1.4925,24277.72,65848.74,0.6057,0.51,,9.3902,1084698.3871
688107.SH,2025-06-09,27.02,27.29,27.01,27.15,27.06,0.09,0.3326,20548.32,55781.162,0.5126,0.57,,9.4215,1088306.0314
688107.SH,2025-06-10,27.04,27.25,26.18,26.46,27.15,-0.69,-2.5414,31504.86,83767.73,0.786,0.99,,9.182,1060647.4251
688107.SH,2025-06-11,26.75,26.8,26.41,26.45,26.46,-0.01,-0.0378,16932.24,45093.754,0.4224,0.62,,9.1786,1060246.5757
688107.SH,2025-06-12,26.45,26.73,26.13,26.29,26.45,-0.16,-0.6049,18805.74,49636.662,0.4691,0.75,,9.123,1053832.9858
688107.SH,2025-06-13,26.11,27.27,26.05,27.0,26.29,0.71,2.7006,58955.6,157272.812,1.4708,2.63,,9.3694,1082293.2909
688107.SH,2025-06-16,26.81,27.33,26.65,26.96,27.0,-0.04,-0.1481,26009.06,70259.077,0.6488,0.89,,9.3555,1080689.8934
688107.SH,2025-06-17,26.96,27.17,26.51,26.7,26.96,-0.26,-0.9644,19244.45,51429.464,0.4801,0.63,,9.2653,1070267.8099
688107.SH,2025-06-18,26.88,27.04,26.46,26.82,26.7,0.12,0.4494,21657.15,58047.022,0.5403,0.77,,9.3069,1075078.0023
688107.SH,2025-06-19,26.68,27.05,26.2,26.3,26.82,-0.52,-1.9389,22988.48,61192.77,0.5735,0.79,,9.1265,1054233.8352
688107.SH,2025-06-20,26.41,26.61,26.2,26.24,26.3,-0.06,-0.2281,12657.65,33361.298,0.3158,0.43,,9.1057,1051828.739
688107.SH,2025-06-23,26.01,26.77,26.01,26.65,26.24,0.41,1.5625,19201.67,51014.763,0.479,0.94,,9.248,1068263.5631
688107.SH,2025-06-24,26.58,27.22,26.58,27.15,26.65,0.5,1.8762,25836.75,69838.507,0.6446,1.35,,9.4215,1088306.0314
688107.SH,2025-06-25,27.0,27.6,27.0,27.55,27.15,0.4,1.4733,33717.36,92194.734,0.8411,1.65,,9.5603,1104340.0061
688107.SH,2025-06-26,27.55,27.68,27.1,27.13,27.55,-0.42,-1.5245,28723.0,78430.055,0.7166,1.26,,9.4145,1087504.3327
688107.SH,2025-06-27,27.3,27.55,27.13,27.15,27.13,0.02,0.0737,28112.15,76750.462,0.7013,1.17,,9.4215,1088306.0314
688107.SH,2025-06-30,27.6,28.5,27.6,28.24,27.15,1.09,4.0147,54171.58,152293.296,1.3514,2.0,,9.7997,1131998.6124
688107.SH,2025-07-01,28.01,28.66,27.99,28.06,28.24,-0.18,-0.6374,33495.3,94681.582,0.8356,0.98,,9.7372,1124783.3238
688107.SH,2025-07-02,27.98,28.0,27.33,27.48,28.06,-0.58,-2.067,22473.67,61960.984,0.5607,0.63,,9.536,1101534.0605
688107.SH,2025-07-03,27.48,27.76,27.25,27.37,27.48,-0.11,-0.4003,20397.43,55953.845,0.5089,0.61,,9.4978,1097124.7175
688107.SH,2025-07-04,27.36,27.5,26.8,27.05,27.37,-0.32,-1.1692,23589.75,63943.496,0.5885,0.74,,9.3868,1084297.5377
688107.SH,2025-07-07,26.86,27.16,26.83,27.05,27.05,0.0,0.0,12160.83,32860.572,0.3034,0.39,,9.3868,1084297.5377
688107.SH,2025-07-08,27.14,27.38,27.0,27.36,27.05,0.31,1.146,17757.31,48412.549,0.443,0.79,,9.4943,1096723.8681
688107.SH,2025-07-09,27.26,27.44,27.09,27.1,27.36,-0.26,-0.9503,17956.67,48867.388,0.448,0.93,,9.4041,1086301.7846
688107.SH,2025-07-10,27.14,27.36,26.99,27.29,27.1,0.19,0.7011,15020.34,40897.17,0.3747,0.82,,9.47,1093917.9225
688107.SH,2025-07-11,27.36,27.47,27.13,27.31,27.29,0.02,0.0733,33323.15,91080.48,0.8313,1.93,,9.477,1094719.6213
688107.SH,2025-07-14,27.29,27.4,27.04,27.11,27.31,-0.2,-0.7323,21643.55,58758.103,0.5399,1.12,,9.4076,1086702.6339
688107.SH,2025-07-15,27.11,27.21,26.43,26.65,27.11,-0.46,-1.6968,31810.98,84898.727,0.7936,1.5,,9.248,1068263.5631
