ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688737.SH,2025-05-13,23.5,23.96,22.91,23.11,23.52,-0.41,-1.7432,43966.38,102349.523,3.6772,0.48,,1.5069,276313.5803
688737.SH,2025-05-14,23.11,23.45,22.4,22.53,23.11,-0.58,-2.5097,44560.76,101778.341,3.7269,0.56,,1.4691,269378.8388
688737.SH,2025-05-15,22.5,22.59,21.84,22.02,22.53,-0.51,-2.2636,37468.51,82774.038,3.1337,0.54,,1.4358,263281.0488
688737.SH,2025-05-16,21.89,23.2,21.8,22.32,22.02,0.3,1.3624,41283.44,93783.724,3.4528,0.63,,1.4554,266867.9841
688737.SH,2025-05-19,22.1,22.67,21.6,21.82,22.32,-0.5,-2.2401,34056.87,74701.326,2.8484,0.65,,1.4228,260889.7586
688737.SH,2025-05-20,21.96,22.65,21.65,22.26,21.82,0.44,2.0165,33608.25,74396.053,2.8109,0.83,,1.4515,266150.597
688737.SH,2025-05-21,22.2,22.25,21.51,21.84,22.26,-0.42,-1.8868,22788.29,49730.186,1.9059,0.6,,1.4241,261128.8877
688737.SH,2025-05-22,21.84,22.0,21.22,21.38,21.84,-0.46,-2.1062,22387.11,48113.014,1.8724,0.66,,1.3941,255628.9202
688737.SH,2025-05-23,21.1,21.79,20.58,20.8,21.38,-0.58,-2.7128,31615.82,66710.06,2.6442,1.03,,1.3563,248694.1787
688737.SH,2025-05-26,20.68,20.71,20.3,20.59,20.8,-0.21,-1.0096,18775.41,38553.277,1.5703,0.65,,1.3426,246183.324
688737.SH,2025-05-27,20.6,20.83,20.19,20.67,20.59,0.08,0.3885,20525.31,42149.725,1.7167,0.79,,1.3478,247139.8401
688737.SH,2025-05-28,20.8,20.86,20.25,20.31,20.67,-0.36,-1.7417,12674.79,25899.193,1.0601,0.55,,1.3243,242835.5178
688737.SH,2025-05-29,20.48,21.03,20.06,20.46,20.31,0.15,0.7386,24629.37,50580.663,2.0599,1.16,,1.3341,244628.9854
688737.SH,2025-05-30,20.5,20.63,20.0,20.16,20.46,-0.3,-1.4663,17618.67,35557.165,1.4736,0.81,,1.3146,241042.0501
688737.SH,2025-06-03,20.01,20.31,19.92,20.2,20.16,0.04,0.1984,15429.58,31096.97,1.2905,0.82,,1.3172,241520.3082
688737.SH,2025-06-04,20.08,20.42,20.08,20.33,20.2,0.13,0.6436,12694.15,25722.806,1.0617,0.7,,1.3256,243074.6468
688737.SH,2025-06-05,20.41,20.58,20.06,20.38,20.33,0.05,0.2459,19840.96,40332.354,1.6594,1.19,,1.3289,243672.4693
688737.SH,2025-06-06,20.4,21.15,20.22,20.72,20.38,0.34,1.6683,24262.93,50248.091,2.0293,1.34,,1.3511,247737.6626
688737.SH,2025-06-09,20.81,21.31,20.68,21.04,20.72,0.32,1.5444,18978.51,39943.636,1.5873,1.06,,1.3719,251563.7269
688737.SH,2025-06-10,21.25,21.25,20.11,20.48,21.04,-0.56,-2.6616,21939.88,45295.512,1.835,1.2,,1.3354,244868.1144
688737.SH,2025-06-11,20.48,21.35,20.48,20.66,20.48,0.18,0.8789,31619.73,66085.033,2.6446,1.62,,1.3472,247020.2756
688737.SH,2025-06-12,20.56,20.87,20.24,20.33,20.66,-0.33,-1.5973,15467.23,31668.296,1.2936,0.66,,1.3256,243074.6468
688737.SH,2025-06-13,20.31,20.57,19.5,19.83,20.33,-0.5,-2.4594,26069.76,51895.865,2.1804,1.16,,1.293,237096.4213
688737.SH,2025-06-16,19.82,20.1,19.64,19.73,19.83,-0.1,-0.5043,12602.15,24977.998,1.054,0.55,,1.2865,235900.7763
