ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688651.SH,2025-05-13,35.79,35.82,34.74,34.75,35.79,-1.04,-2.9058,7705.58,27057.798,2.4454,0.79,1608.9066,2.7058,262011.525
688651.SH,2025-05-14,34.47,35.12,33.9,34.02,34.75,-0.73,-2.1007,8410.01,28872.132,2.669,0.88,1575.108,2.6489,256507.398
688651.SH,2025-05-15,34.02,34.23,33.52,33.85,34.02,-0.17,-0.4997,4860.51,16452.123,1.5425,0.54,1567.2371,2.6357,255225.615
688651.SH,2025-05-16,33.85,35.43,33.51,34.56,33.85,0.71,2.0975,8608.15,29768.288,2.7318,1.05,1600.1097,2.691,260578.944
688651.SH,2025-05-19,34.53,34.88,34.11,34.64,34.56,0.08,0.2315,4683.41,16153.418,1.4863,0.54,1603.8137,2.6972,261182.136
688651.SH,2025-05-20,34.37,35.35,34.24,35.06,34.64,0.42,1.2125,5510.59,19243.714,1.7488,0.8,1623.2594,2.7299,264348.894
688651.SH,2025-05-21,35.29,35.49,34.13,34.25,35.06,-0.81,-2.3103,6219.16,21490.534,1.9737,0.97,1585.7569,2.6668,258241.575
688651.SH,2025-05-22,34.76,37.18,34.25,34.96,34.25,0.71,2.073,18514.81,66785.495,5.8758,3.1,1618.6295,2.7221,263594.904
688651.SH,2025-05-23,35.39,36.6,34.19,35.8,34.96,0.84,2.4027,14784.37,52467.299,4.6919,1.7,1657.521,2.7875,269928.42
688651.SH,2025-05-26,36.26,36.68,34.28,34.7,35.8,-1.1,-3.0726,17998.21,63131.517,5.7118,1.81,1606.5916,2.7019,261634.53
688651.SH,2025-05-27,34.6,34.67,33.2,33.48,34.7,-1.22,-3.5159,11341.67,38172.005,3.5993,0.9,1550.1063,2.6069,252435.852
688651.SH,2025-05-28,33.3,34.4,33.01,33.25,33.48,-0.23,-0.687,8216.7,27555.263,2.6076,0.6,1539.4574,2.589,250701.675
688651.SH,2025-05-29,33.2,34.31,33.09,34.1,33.25,0.85,2.5564,10289.03,34905.796,3.2653,0.73,1578.8119,2.6552,257110.59
688651.SH,2025-05-30,33.97,33.97,32.67,32.81,34.1,-1.29,-3.783,8600.46,28425.722,2.7294,0.69,1519.0856,2.5547,247384.119
688651.SH,2025-06-03,32.86,33.66,32.68,32.86,32.81,0.05,0.1524,5705.82,18875.979,1.8108,0.51,1521.4006,2.5586,247761.114
688651.SH,2025-06-04,32.87,33.42,32.7,33.02,32.86,0.16,0.4869,5505.12,18198.918,1.7471,0.62,1528.8085,2.5711,248967.498
688651.SH,2025-06-05,33.15,33.52,32.8,33.38,33.02,0.36,1.0902,5906.37,19584.231,1.8744,0.77,1545.4763,2.5991,251681.862
688651.SH,2025-06-06,33.49,33.7,32.95,33.46,33.38,0.08,0.2397,7448.55,24796.495,2.3638,1.03,1549.1803,2.6053,252285.054
688651.SH,2025-06-09,33.38,33.7,32.95,33.2,33.46,-0.26,-0.777,11614.24,38639.856,3.6858,1.75,1537.1424,2.5851,250324.68
688651.SH,2025-06-10,33.2,33.2,32.17,32.65,33.2,-0.55,-1.6566,9714.0,31787.208,3.0828,1.34,1511.6777,2.5423,246177.735
688651.SH,2025-06-11,32.5,33.25,32.5,32.97,32.65,0.32,0.9801,5676.86,18710.074,1.8016,0.71,1526.4935,2.5672,248590.503
688651.SH,2025-06-12,32.99,33.12,32.29,32.59,32.97,-0.38,-1.1526,7304.2,23861.309,2.318,0.9,1508.8997,2.5376,245725.341
688651.SH,2025-06-13,32.98,32.98,31.5,31.5,32.59,-1.09,-3.3446,11061.39,35201.522,3.5104,1.32,1458.4333,2.4527,237506.85
688651.SH,2025-06-16,31.5,32.17,31.24,31.82,31.5,0.32,1.0159,9083.02,28996.848,2.8825,1.0,1473.2492,2.4776,239919.618
688651.SH,2025-06-17,31.98,32.14,31.22,31.36,31.82,-0.46,-1.4456,7374.26,23220.713,2.3403,0.86,1451.9514,2.4418,236451.264
688651.SH,2025-06-18,31.05,31.62,31.0,31.55,31.36,0.19,0.6059,5078.93,15934.461,1.6118,0.63,1460.7483,2.4566,237883.845
688651.SH,2025-06-19,31.33,32.26,31.33,31.38,31.55,-0.17,-0.5388,9241.29,29383.826,2.9328,1.16,1452.8774,2.4434,236602.062
688651.SH,2025-06-20,31.21,31.58,30.8,30.86,31.38,-0.52,-1.6571,7691.71,23910.393,2.441,0.92,1428.8017,2.4029,232681.314
688651.SH,2025-06-23,30.97,31.82,30.6,31.65,30.86,0.79,2.5599,6107.45,19128.392,1.9382,0.79,1465.3782,2.4644,238637.835
688651.SH,2025-06-24,31.87,32.77,31.7,32.57,31.65,0.92,2.9068,9948.75,32193.623,3.1573,1.4,1507.9738,2.536,245574.543
688651.SH,2025-06-25,32.77,32.97,32.22,32.91,32.57,0.34,1.0439,11072.58,36123.635,3.5139,1.45,1523.7156,2.5625,248138.109
688651.SH,2025-06-26,33.48,34.41,33.22,33.82,32.91,0.91,2.7651,18998.89,64345.602,6.0294,2.16,1565.8481,2.6334,254999.418
688651.SH,2025-06-27,33.83,34.2,33.53,33.67,33.82,-0.15,-0.4435,12940.55,43806.203,4.1068,1.2,1558.9032,2.6217,253868.433
688651.SH,2025-06-30,33.67,34.33,33.51,34.13,33.67,0.46,1.3662,8895.2,30295.913,2.8229,0.75,1580.2009,2.6575,257336.787
688651.SH,2025-07-01,34.12,34.32,33.27,33.6,34.13,-0.53,-1.5529,10949.95,36848.686,3.475,0.89,1555.6622,2.6162,253340.64
688651.SH,2025-07-02,33.75,33.99,33.18,33.39,33.6,-0.21,-0.625,9158.68,30649.81,2.9066,0.73,1545.9393,2.5999,251757.261
688651.SH,2025-07-03,33.21,34.34,33.21,33.64,33.39,0.25,0.7487,9420.13,31894.317,2.9895,0.77,1557.5142,2.6193,253642.236
688651.SH,2025-07-04,33.38,34.1,33.12,33.2,33.64,-0.44,-1.308,10416.8,34819.335,3.3058,1.01,1537.1424,2.5851,250324.68
688651.SH,2025-07-07,33.17,33.6,33.0,33.5,33.2,0.3,0.9036,5293.87,17660.637,1.68,0.54,1551.0323,2.6084,252586.65
