ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,volume_ratio,turnover_rate,turnover_rate_f
688017.SH,2024-05-10,115.2,116.0,110.2,110.97,115.31,-4.34,-3.7638,21762.17,243133.528,1.07,1.2902,2.1782
688017.SH,2024-05-13,111.6,111.88,109.2,109.62,110.97,-1.35,-1.2165,19103.79,210728.339,0.95,1.1326,1.9122
688017.SH,2024-05-14,110.9,114.21,110.31,110.8,109.62,1.18,1.0764,16736.67,187641.382,0.88,0.9923,1.6752
688017.SH,2024-05-15,110.5,111.85,109.32,109.39,110.8,-1.41,-1.2726,8845.93,97502.406,0.47,0.5244,0.8854
688017.SH,2024-05-16,110.5,111.0,109.0,109.2,109.39,-0.19,-0.1737,14703.08,161440.537,0.88,0.8717,1.4717
688017.SH,2024-05-17,108.92,116.97,107.54,116.89,109.2,7.69,7.0421,34373.77,389708.007,2.12,2.0379,3.4406
688017.SH,2024-05-20,116.89,122.21,115.55,120.86,116.89,3.97,3.3964,31924.47,382232.906,1.7,1.8927,3.1954
688017.SH,2024-05-21,120.11,121.0,116.24,116.57,120.86,-4.29,-3.5496,20171.16,239047.597,0.95,1.1959,2.019
688017.SH,2024-05-22,117.79,120.45,117.5,120.32,116.57,3.75,3.217,17812.11,212261.089,0.81,1.056,1.7829
688017.SH,2024-05-23,120.0,120.0,115.2,116.15,120.32,-4.17,-3.4658,15073.0,176538.096,0.63,0.8936,1.5087
688017.SH,2024-05-24,115.57,116.5,107.9,108.8,116.15,-7.35,-6.328,24687.1,274641.927,1.03,1.4636,2.471
688017.SH,2024-05-27,109.04,111.67,106.4,111.62,108.8,2.82,2.5919,18249.0,198780.954,0.83,1.0819,1.8266
688017.SH,2024-05-28,111.0,111.97,109.14,109.5,111.62,-2.12,-1.8993,13325.13,146950.497,0.69,0.79,1.3338
688017.SH,2024-05-29,109.5,111.22,109.5,110.46,109.5,0.96,0.8767,9995.92,110336.485,0.56,0.5926,1.0005
688017.SH,2024-05-30,110.52,115.25,109.52,113.65,110.46,3.19,2.8879,18328.04,206784.54,1.13,1.0866,1.8345
688017.SH,2024-05-31,113.09,118.88,113.09,115.08,113.65,1.43,1.2582,21178.17,246441.305,1.25,1.2556,2.1198
688017.SH,2024-06-03,116.44,119.26,115.15,116.79,115.08,1.71,1.4859,22225.18,260879.829,1.37,1.3177,2.2246
688017.SH,2024-06-04,117.07,117.5,114.3,116.4,116.79,-0.39,-0.3339,13038.68,150741.787,0.77,0.773,1.3051
688017.SH,2024-06-05,116.0,118.49,114.5,114.58,116.4,-1.82,-1.5636,14511.05,168232.84,0.86,0.8603,1.4525
688017.SH,2024-06-06,114.41,115.96,110.65,111.02,114.58,-3.56,-3.107,18590.46,209442.893,1.04,1.1022,1.8608
688017.SH,2024-06-07,113.0,113.7,108.38,108.6,111.02,-2.42,-2.1798,18476.45,203515.565,1.03,1.0954,1.8494
688017.SH,2024-06-11,108.27,108.88,103.58,108.31,108.6,-0.29,-0.267,29159.72,308807.824,1.68,1.7288,2.9187
688017.SH,2024-06-12,107.5,112.52,107.5,108.67,108.31,0.36,0.3324,22079.43,243471.332,1.18,1.309,2.21
688017.SH,2024-06-13,108.12,112.83,106.51,110.48,108.37,2.11,1.947,29002.49,318049.002,1.41,1.7195,2.903
688017.SH,2024-06-14,108.0,108.28,97.09,99.48,110.48,-11.0,-9.9566,84790.32,853490.71,3.61,5.0269,8.4869
688017.SH,2024-06-17,97.0,97.9,92.53,93.92,99.48,-5.56,-5.5891,64035.48,603297.358,1.74,3.7964,6.4095
688017.SH,2024-06-18,93.3,96.53,93.3,93.48,93.92,-0.44,-0.4685,35846.59,340614.228,0.78,2.1252,3.588
688017.SH,2024-06-19,94.15,95.78,92.76,92.77,93.48,-0.71,-0.7595,32072.57,302297.332,0.68,1.9015,3.2102
688017.SH,2024-06-20,92.57,94.65,91.57,91.6,92.77,-1.17,-1.2612,25563.92,237556.998,0.52,1.5156,2.5588
688017.SH,2024-06-21,90.23,91.0,86.51,86.59,91.6,-5.01,-5.4694,52651.48,461715.797,1.09,3.1215,5.2701
688017.SH,2024-06-24,86.59,87.77,81.2,81.8,86.59,-4.79,-5.5318,48917.08,412504.043,1.16,2.9001,4.8963
688017.SH,2024-06-25,81.99,84.2,81.64,82.02,81.8,0.22,0.2689,36774.66,303825.656,0.94,2.1802,3.6809
688017.SH,2024-06-26,82.02,83.75,80.27,83.56,82.02,1.54,1.8776,32274.69,264869.214,0.82,1.9135,3.2305
688017.SH,2024-06-27,83.0,84.69,82.05,82.06,83.56,-1.5,-1.7951,28124.94,234895.389,0.72,1.6674,2.8151
688017.SH,2024-06-28,82.11,83.95,81.72,82.1,82.06,0.04,0.0487,23727.69,196713.882,0.6,1.4067,2.375
688017.SH,2024-07-01,82.98,82.99,79.24,80.54,82.1,-1.56,-1.9001,24603.64,198167.955,0.72,1.4587,2.4627
688017.SH,2024-07-02,81.0,82.4,77.0,77.57,80.54,-2.97,-3.6876,29685.06,233768.877,1.02,1.7599,2.9713
688017.SH,2024-07-03,78.58,78.98,76.01,76.47,77.57,-1.1,-1.4181,27500.13,212354.964,0.99,1.6304,2.7526
688017.SH,2024-07-04,77.66,78.86,75.66,75.87,76.47,-0.6,-0.7846,27806.02,214933.378,1.04,1.6485,2.7832
688017.SH,2024-07-05,76.18,76.18,73.07,74.2,75.87,-1.67,-2.2011,34689.36,257576.785,1.3,2.0566,3.4722
688017.SH,2024-07-08,74.52,74.64,71.68,71.98,74.2,-2.22,-2.9919,25316.95,183918.773,0.88,1.501,2.5341
688017.SH,2024-07-09,72.22,73.0,70.81,72.6,71.98,0.62,0.8614,31233.12,224710.958,1.08,1.8517,3.1262
688017.SH,2024-07-10,72.39,75.24,71.85,74.5,72.6,1.9,2.6171,33706.34,250707.375,1.15,1.9983,3.3738
688017.SH,2024-07-11,75.6,77.29,75.2,75.81,74.5,1.31,1.7584,27790.16,211616.203,0.91,1.6476,2.7816
688017.SH,2024-07-12,75.81,76.35,73.12,73.28,75.81,-2.53,-3.3373,22794.64,168477.303,0.75,1.3514,2.2816
688017.SH,2024-07-15,72.5,73.15,70.85,70.91,73.28,-2.37,-3.2342,27614.87,197684.614,0.98,1.6372,2.7641
688017.SH,2024-07-16,70.87,72.79,70.29,72.03,70.91,1.12,1.5795,20902.19,149368.9,0.73,1.2392,2.0922
688017.SH,2024-07-17,72.97,73.0,70.7,71.39,72.03,-0.64,-0.8885,16883.6,120911.782,0.64,1.001,1.6899
688017.SH,2024-07-18,70.91,72.13,69.79,71.7,71.39,0.31,0.4342,24598.21,174441.795,1.06,1.4583,2.4621
688017.SH,2024-07-19,71.34,74.66,70.85,73.5,71.7,1.8,2.5105,30410.2,221920.377,1.35,1.8029,3.0439
688017.SH,2024-07-22,74.39,74.67,72.29,73.0,73.5,-0.5,-0.6803,23052.66,169179.103,0.96,1.3667,2.3074
688017.SH,2024-07-23,74.42,74.49,69.99,69.99,73.0,-3.01,-4.1233,26428.28,190204.307,1.14,1.5668,2.6453
688017.SH,2024-07-24,69.88,70.58,68.02,68.09,69.99,-1.9,-2.7147,21739.93,149991.017,0.9,1.2889,2.176
688017.SH,2024-07-25,67.61,70.44,67.49,69.08,68.09,0.99,1.454,21932.27,151358.398,0.87,1.3003,2.1953
688017.SH,2024-07-26,68.96,70.82,68.51,70.28,69.08,1.2,1.7371,21292.71,148716.211,0.86,1.2624,2.1313
688017.SH,2024-07-29,70.64,70.9,68.82,69.19,70.28,-1.09,-1.5509,13293.68,92378.835,0.58,0.7881,1.3306
688017.SH,2024-07-30,68.82,72.0,68.04,71.15,69.19,1.96,2.8328,24227.53,170925.182,1.16,1.4364,2.425
688017.SH,2024-07-31,70.66,79.77,70.5,79.31,71.15,8.16,11.4687,65641.86,502050.869,3.2,3.8917,6.5703
688017.SH,2024-08-01,78.94,81.36,77.68,79.8,79.31,0.49,0.6178,59095.17,469181.021,2.02,3.5036,5.915
688017.SH,2024-08-02,78.98,79.85,76.63,76.89,79.8,-2.91,-3.6466,34919.81,273117.568,0.95,2.0703,3.4952
688017.SH,2024-08-05,76.5,79.64,75.4,75.42,76.89,-1.47,-1.9118,38410.84,297753.013,0.97,2.2772,3.8447
688017.SH,2024-08-06,77.78,78.5,75.26,76.61,75.42,1.19,1.5778,24701.13,188980.045,0.56,1.4644,2.4724
688017.SH,2024-08-07,77.41,78.32,75.0,75.2,76.61,-1.41,-1.8405,24878.63,189921.563,0.56,1.475,2.4902
688017.SH,2024-08-08,74.52,74.93,71.67,72.89,75.2,-2.31,-3.0718,32560.41,236951.617,0.89,1.9304,3.2591
688017.SH,2024-08-09,73.59,73.88,71.03,71.14,72.89,-1.75,-2.4009,17277.18,125047.472,0.56,1.0243,1.7293
688017.SH,2024-08-12,71.06,71.88,70.33,71.0,71.14,-0.14,-0.1968,13630.34,96940.191,0.49,0.8081,1.3643
688017.SH,2024-08-13,71.0,72.31,70.06,70.89,71.0,-0.11,-0.1549,21406.14,152542.776,0.95,1.2691,2.1426
688017.SH,2024-08-14,70.8,71.53,68.99,69.9,70.89,-0.99,-1.3965,20943.26,146760.804,0.95,1.241,2.0944
688017.SH,2024-08-15,69.59,73.11,69.31,71.18,69.9,1.28,1.8312,31431.5,224776.879,1.49,1.8625,3.1432
688017.SH,2024-08-16,71.51,72.0,69.92,70.0,71.18,-1.18,-1.6578,18951.36,134578.17,0.91,1.123,1.8952
688017.SH,2024-08-19,70.0,71.39,67.71,67.9,70.0,-2.1,-3.0,24923.14,172875.172,1.17,1.4768,2.4923
688017.SH,2024-08-20,67.75,68.09,65.24,65.55,67.9,-2.35,-3.461,26288.54,174351.723,1.12,1.5577,2.6289
688017.SH,2024-08-21,65.5,67.48,65.28,65.8,65.55,0.25,0.3814,18125.87,120064.19,0.74,1.074,1.8126
688017.SH,2024-08-22,65.83,66.29,61.4,61.5,65.8,-4.3,-6.535,38371.72,241836.692,1.6,2.2737,3.8372
688017.SH,2024-08-23,62.07,62.46,60.84,61.02,61.5,-0.48,-0.7805,27024.31,165915.255,1.07,1.6013,2.7025
688017.SH,2024-08-26,61.5,62.54,60.87,61.65,61.02,0.63,1.0324,21543.44,132745.371,0.8,1.2765,2.1544
688017.SH,2024-08-27,61.6,62.1,59.88,59.97,61.65,-1.68,-2.7251,22445.25,135882.846,0.85,1.33,2.2446
688017.SH,2024-08-28,59.8,62.85,59.8,61.78,59.97,1.81,3.0182,31906.9,196849.957,1.25,1.8906,3.1907
688017.SH,2024-08-29,61.44,65.2,61.38,64.3,61.78,2.52,4.079,28123.98,178706.163,1.0,1.6665,2.8124
688017.SH,2024-08-30,64.22,65.8,63.55,64.84,64.3,0.54,0.8398,36456.1,236738.597,1.39,2.1602,3.6457
688017.SH,2024-09-02,64.0,64.7,61.8,62.25,64.84,-2.59,-3.9944,29343.62,184597.817,1.04,1.7387,2.9344
688017.SH,2024-09-03,62.33,65.8,62.03,63.99,62.25,1.74,2.7952,27131.64,174490.897,0.91,1.6077,2.7132
688017.SH,2024-09-04,63.69,65.58,63.01,64.45,63.99,0.46,0.7189,21925.22,141330.418,0.72,1.2992,2.1926
688017.SH,2024-09-05,64.9,67.13,64.51,65.04,64.45,0.59,0.9154,25415.66,167511.312,0.89,1.506,2.5416
688017.SH,2024-09-06,65.6,65.6,62.62,62.66,65.04,-2.38,-3.6593,18432.9,117156.918,0.66,1.0922,1.8459
688017.SH,2024-09-09,61.5,63.83,61.0,62.66,62.66,0.0,0.0,16111.97,101040.959,0.66,0.9547,1.6135
688017.SH,2024-09-10,62.75,64.68,61.81,63.88,62.66,1.22,1.947,19730.73,124390.338,0.9,1.1691,1.9759
688017.SH,2024-09-11,63.62,64.52,63.18,64.4,63.88,0.52,0.814,14218.83,91113.839,0.7,0.8425,1.4239
688017.SH,2024-09-12,64.56,65.1,62.9,63.13,64.4,-1.27,-1.972,13861.55,88788.786,0.74,0.8214,1.3881
688017.SH,2024-09-13,63.13,63.31,60.7,60.76,63.13,-2.37,-3.7542,18063.09,111246.289,1.1,1.0703,1.8089
688017.SH,2024-09-18,60.99,61.95,59.81,61.43,60.76,0.67,1.1027,14176.67,85964.78,0.86,0.84,1.4197
688017.SH,2024-09-19,61.58,64.1,61.16,62.93,61.43,1.5,2.4418,21364.45,134200.008,1.33,1.2659,2.1395
688017.SH,2024-09-20,62.88,63.15,59.81,60.34,62.93,-2.59,-4.1157,20725.82,126325.406,1.27,1.2281,2.0755
688017.SH,2024-09-23,60.34,60.67,58.96,58.97,60.34,-1.37,-2.2705,17746.64,105560.92,1.01,1.0516,1.7772
688017.SH,2024-09-24,59.8,63.63,58.22,63.62,58.97,4.65,7.8854,45145.98,277596.676,2.45,2.6751,4.521
688017.SH,2024-09-25,64.7,65.45,62.71,62.88,63.62,-0.74,-1.1632,38977.05,250177.732,1.64,2.3096,3.9032
