ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688677.SH,2025-05-13,36.8,36.84,36.02,36.29,36.16,0.13,0.3595,9868.77,35843.728,0.8232,0.86,32.1417,3.3016,435033.633
688677.SH,2025-05-14,36.01,36.6,36.01,36.25,36.29,-0.04,-0.1102,6025.46,21863.515,0.5026,0.54,32.1063,3.2979,434554.125
688677.SH,2025-05-15,36.32,36.68,35.86,36.03,36.25,-0.22,-0.6069,5370.84,19422.61,0.448,0.56,31.9114,3.2779,431916.831
688677.SH,2025-05-16,36.18,36.52,35.74,36.43,36.03,0.4,1.1102,5303.33,19202.452,0.4424,0.58,32.2657,3.3143,436711.911
688677.SH,2025-05-19,36.44,37.25,36.06,37.05,36.43,0.62,1.7019,15976.25,58717.424,1.3327,1.92,32.8149,3.3707,444144.285
688677.SH,2025-05-20,37.18,39.54,36.86,39.52,37.05,2.47,6.6667,26864.17,103596.627,2.241,3.16,35.0025,3.5954,473753.904
688677.SH,2025-05-21,39.47,40.5,38.9,39.63,39.52,0.11,0.2783,15237.45,60548.918,1.2711,1.28,35.0999,3.6054,475072.551
688677.SH,2025-05-22,39.0,40.61,39.0,39.45,39.63,-0.18,-0.4542,12752.83,51029.77,1.0638,0.93,34.9405,3.5891,472914.765
688677.SH,2025-05-23,39.23,40.88,39.23,39.47,39.45,0.02,0.0507,15612.01,62328.961,1.3023,1.03,34.9582,3.5909,473154.519
688677.SH,2025-05-26,39.5,40.7,38.9,40.55,39.47,1.08,2.7363,16884.5,67213.766,1.4085,0.98,35.9148,3.6891,486101.235
688677.SH,2025-05-27,40.4,41.15,39.85,40.55,40.55,0.0,0.0,14561.57,58929.974,1.2147,0.83,35.9148,3.6891,486101.235
688677.SH,2025-05-28,40.55,42.0,40.23,41.83,40.55,1.28,3.1566,15159.08,62786.071,1.2646,1.01,37.0485,3.8056,501445.491
688677.SH,2025-05-29,42.0,42.38,41.08,41.8,41.83,-0.03,-0.0717,14153.7,59116.986,1.1807,0.94,37.0219,3.8029,501085.86
688677.SH,2025-05-30,41.3,42.28,40.67,41.29,41.8,-0.51,-1.2201,15466.61,63843.287,1.2902,1.01,36.5702,3.7565,494972.133
688677.SH,2025-06-03,41.33,41.89,40.86,41.6,41.29,0.31,0.7508,16119.64,66954.039,1.3447,1.06,36.8447,3.7847,498688.32
688677.SH,2025-06-04,41.54,41.9,40.78,40.8,41.6,-0.8,-1.9231,13333.77,54926.083,1.1123,0.88,36.1362,3.7119,489098.16
688677.SH,2025-06-05,41.49,41.75,40.84,41.32,40.8,0.52,1.2745,14071.67,58046.619,1.1738,0.95,36.5968,3.7592,495331.764
688677.SH,2025-06-06,40.58,41.27,39.77,40.24,40.73,-0.49,-1.203,9845.83,39795.537,0.8213,0.67,35.6402,3.8702,482385.048
688677.SH,2025-06-09,40.92,41.75,40.01,41.36,40.24,1.12,2.7833,15191.47,62424.958,1.2673,1.1,36.6322,3.978,495811.272
688677.SH,2025-06-10,41.5,41.88,40.7,41.22,41.36,-0.14,-0.3385,13379.3,55321.029,1.1161,0.98,36.5082,3.9645,494132.994
688677.SH,2025-06-11,41.23,41.96,40.8,41.7,41.22,0.48,1.1645,11411.5,47289.801,0.9519,0.87,36.9333,4.0107,499887.09
688677.SH,2025-06-12,41.5,41.75,41.02,41.36,41.7,-0.34,-0.8153,9530.46,39441.946,0.795,0.75,36.6322,3.978,495811.272
688677.SH,2025-06-13,41.36,41.55,40.54,40.65,41.36,-0.71,-1.7166,7823.39,31984.047,0.6526,0.66,36.0033,3.9097,487300.005
688677.SH,2025-06-16,41.0,41.0,39.11,39.42,40.65,-1.23,-3.0258,18738.0,74281.59,1.5631,1.63,34.9139,3.7914,472555.134
688677.SH,2025-06-17,39.55,39.89,39.02,39.3,39.42,-0.12,-0.3044,8858.95,34846.427,0.739,0.73,34.8077,3.7798,471116.61
688677.SH,2025-06-18,39.03,39.46,38.84,39.18,39.3,-0.12,-0.3053,6764.18,26446.268,0.5643,0.6,34.7014,3.7683,469678.086
688677.SH,2025-06-19,39.0,39.59,38.1,38.36,39.18,-0.82,-2.0929,7770.5,30241.366,0.6482,0.75,33.9751,3.6894,459848.172
688677.SH,2025-06-20,38.34,38.93,38.06,38.52,38.36,0.16,0.4171,5186.37,19955.404,0.4326,0.52,34.1168,3.7048,461766.204
688677.SH,2025-06-23,38.63,38.99,38.11,38.71,38.52,0.19,0.4933,7123.84,27578.589,0.5943,0.75,34.2851,3.7231,464043.867
688677.SH,2025-06-24,38.87,38.95,38.43,38.89,38.71,0.18,0.465,7769.18,30119.158,0.6481,1.09,34.4445,3.7404,466201.653
688677.SH,2025-06-25,38.89,39.1,38.42,38.97,38.89,0.08,0.2057,11491.21,44589.601,0.9586,1.66,34.5154,3.7481,467160.669
688677.SH,2025-06-26,39.0,39.27,38.17,38.5,38.97,-0.47,-1.2061,12773.49,49376.964,1.0655,1.62,34.0991,3.7029,461526.45
688677.SH,2025-06-27,38.51,39.1,38.26,38.68,38.5,0.18,0.4675,14432.03,55958.249,1.2039,1.63,34.2585,3.7202,463684.236
688677.SH,2025-06-30,38.3,39.48,38.3,39.01,38.68,0.33,0.8532,10868.08,42401.219,0.9066,1.01,34.5508,3.7519,467640.177
688677.SH,2025-07-01,39.01,39.04,38.56,38.89,39.01,-0.12,-0.3076,14993.78,58154.084,1.2508,1.31,34.4445,3.7404,466201.653
688677.SH,2025-07-02,38.97,39.03,38.46,38.88,38.89,-0.01,-0.0257,10815.81,41918.885,0.9022,0.84,34.4357,3.7394,466081.776
688677.SH,2025-07-03,38.76,39.04,38.52,38.75,38.88,-0.13,-0.3344,10688.48,41433.749,0.8916,0.84,34.3205,3.7269,464523.375
688677.SH,2025-07-04,38.83,38.83,38.02,38.32,38.75,-0.43,-1.1097,9000.6,34517.349,0.7508,0.73,33.9397,3.6856,459368.664
688677.SH,2025-07-07,38.34,38.51,37.88,38.18,38.32,-0.14,-0.3653,6222.73,23746.858,0.5191,0.55,33.8157,3.6721,457690.386
688677.SH,2025-07-08,38.18,38.48,37.86,38.15,38.18,-0.03,-0.0786,7892.04,30101.231,0.6583,0.76,33.7891,3.6692,457330.755
688677.SH,2025-07-09,38.32,38.32,37.63,37.74,38.15,-0.41,-1.0747,9188.32,34840.52,0.7665,1.03,33.426,3.6298,452415.798
688677.SH,2025-07-10,37.9,37.96,37.52,37.9,37.74,0.16,0.424,6419.53,24241.369,0.5355,0.75,33.5677,3.6452,454333.83
688677.SH,2025-07-11,38.15,38.21,37.6,38.13,37.9,0.23,0.6069,10169.61,38606.598,0.8483,1.31,33.7714,3.6673,457091.001
688677.SH,2025-07-14,38.18,38.83,37.9,38.35,38.13,0.22,0.577,15878.26,60922.147,1.3245,1.99,33.9663,3.6885,459728.295
688677.SH,2025-07-15,38.28,38.5,37.51,37.84,38.35,-0.51,-1.3299,10819.78,41022.805,0.9026,1.09,33.5146,3.6394,453614.568
688677.SH,2025-07-16,37.85,38.28,37.66,37.8,37.84,-0.04,-0.1057,9559.15,36351.271,0.7974,0.91,33.4791,3.6356,453135.06
688677.SH,2025-07-17,38.1,38.27,37.76,37.8,37.8,0.0,0.0,13027.54,49535.363,1.0867,1.23,33.4791,3.6356,453135.06
688677.SH,2025-07-18,37.9,38.35,37.5,38.3,37.8,0.5,1.3228,14974.71,56695.244,1.2492,1.26,33.922,3.6837,459128.91
688677.SH,2025-07-21,38.7,39.86,38.18,39.16,38.3,0.86,2.2454,25503.66,100046.751,2.1275,1.98,34.6837,3.7664,469438.332
688677.SH,2025-07-22,39.0,41.11,38.8,40.19,39.16,1.03,2.6302,37997.61,153405.23,3.1697,2.57,35.5959,3.8654,481785.663
688677.SH,2025-07-23,40.0,40.6,39.75,40.08,40.19,-0.11,-0.2737,16472.3,66102.157,1.3741,0.81,35.4985,3.8549,480467.016
688677.SH,2025-07-24,40.08,40.48,39.48,40.15,40.08,0.07,0.1747,16676.92,66503.764,1.3912,0.77,35.5605,3.8616,481306.155
688677.SH,2025-07-25,40.0,43.68,39.9,43.2,40.15,3.05,7.5965,46655.8,197641.641,3.892,2.09,38.2619,4.1549,517868.64
688677.SH,2025-07-28,43.78,44.64,42.0,42.64,43.2,-0.56,-1.2963,34358.83,146941.883,2.8662,1.2,37.7659,4.1011,511155.528
688677.SH,2025-07-29,42.64,42.68,41.71,42.11,42.64,-0.53,-1.243,32790.47,138158.336,2.7353,1.08,37.2965,4.0501,504802.047
688677.SH,2025-07-30,42.1,42.98,41.06,41.7,42.11,-0.41,-0.9736,25544.9,107314.58,2.1309,0.87,36.9333,4.0107,499887.09
688677.SH,2025-07-31,41.7,42.48,41.37,41.7,41.7,0.0,0.0,22738.7,95334.833,1.8968,0.73,36.9333,4.0107,499887.09
688677.SH,2025-08-01,41.83,43.14,41.67,42.51,41.7,0.81,1.9424,23723.51,100749.731,1.979,0.73,37.6507,4.0886,509597.127
688677.SH,2025-08-04,42.26,45.73,42.12,45.65,42.51,3.14,7.3865,46023.42,202838.823,3.8392,1.65,40.4318,4.3906,547238.505
688677.SH,2025-08-05,45.65,46.07,44.1,44.5,45.65,-1.15,-2.5192,28045.44,125507.591,2.3395,0.93,39.4133,4.28,533452.65
688677.SH,2025-08-06,44.62,45.14,43.71,44.9,44.5,0.4,0.8989,24121.68,107077.762,2.0122,0.83,39.7675,4.3184,538247.73
688677.SH,2025-08-07,44.71,46.66,44.6,45.1,44.9,0.2,0.4454,29684.22,135341.005,2.4762,1.03,39.9447,4.3377,540645.27
688677.SH,2025-08-08,45.08,47.75,44.26,46.69,45.1,1.59,3.5255,37693.45,174740.107,3.1443,1.24,41.3529,4.4906,559705.713
688677.SH,2025-08-11,46.69,47.39,46.31,47.03,46.69,0.34,0.7282,21833.28,102366.283,1.8213,0.66,41.6541,4.5233,563781.531
688677.SH,2025-08-12,46.93,50.65,46.52,49.77,47.03,2.74,5.8261,36977.79,182470.2,3.0846,1.31,44.0808,4.7868,596627.829
688677.SH,2025-08-13,50.0,50.3,48.5,49.2,49.77,-0.57,-1.1453,27534.43,135340.031,2.2969,0.92,43.576,4.732,589794.84
688677.SH,2025-08-14,49.12,49.15,44.96,45.3,49.2,-3.9,-7.9268,49127.8,228322.441,4.0982,1.6,40.1218,4.3569,543042.81
688677.SH,2025-08-15,45.43,45.86,44.87,45.51,45.3,0.21,0.4636,27852.21,126386.999,2.3234,0.8,40.3078,4.3771,545560.227
688677.SH,2025-08-18,46.1,47.77,45.89,46.52,45.51,1.01,2.2193,41115.92,192093.408,3.4298,1.26,41.2023,4.4742,557667.804
688677.SH,2025-08-19,46.13,46.87,45.3,45.46,46.52,-1.06,-2.2786,28869.53,132618.741,2.4083,0.79,40.2635,4.3723,544960.842
688677.SH,2025-08-20,45.3,47.0,44.82,46.79,45.46,1.33,2.9256,30266.74,139685.964,2.5248,0.87,41.4415,4.5002,560904.483
688677.SH,2025-08-21,46.8,47.77,46.3,46.81,46.79,0.02,0.0427,28114.21,132231.894,2.3453,0.79,41.4592,4.5021,561144.237
688677.SH,2025-08-22,47.38,47.45,46.43,47.08,46.81,0.27,0.5768,19818.38,93137.582,1.6532,0.63,41.6983,4.5281,564380.916
688677.SH,2025-08-25,46.1,46.46,43.01,45.81,47.08,-1.27,-2.6975,43564.21,198170.602,3.6341,1.47,40.5735,4.3627,549156.537
688677.SH,2025-08-26,45.99,46.0,44.36,44.42,45.81,-1.39,-3.0343,26148.71,117673.804,2.1813,0.87,39.3424,4.2303,532493.634
688677.SH,2025-08-27,44.42,45.25,43.88,43.88,44.42,-0.54,-1.2157,25556.62,114085.376,2.1319,0.86,38.8641,4.1789,526020.276
688677.SH,2025-08-28,43.9,44.48,42.5,43.63,43.88,-0.25,-0.5697,21573.61,94015.481,1.7996,0.75,38.6427,4.1551,523023.351
688677.SH,2025-08-29,43.7,44.48,43.23,43.61,43.63,-0.02,-0.0458,23601.44,103206.156,1.9688,0.86,38.625,4.1532,522783.597
688677.SH,2025-09-01,43.8,44.78,43.59,44.07,43.61,0.46,1.0548,32394.93,142613.598,2.7023,1.15,39.0324,4.197,528297.939
688677.SH,2025-09-02,44.09,45.7,42.61,42.98,44.07,-1.09,-2.4733,29295.43,128280.472,2.4438,1.13,38.067,4.0932,515231.346
688677.SH,2025-09-03,42.98,43.68,42.67,42.87,42.98,-0.11,-0.2559,17719.13,76507.124,1.4781,0.67,37.9696,4.0827,513912.699
688677.SH,2025-09-04,43.0,43.38,41.58,42.48,42.87,-0.39,-0.9097,17950.4,76353.306,1.4974,0.72,37.6242,4.0456,509237.496
688677.SH,2025-09-05,42.54,43.65,42.54,43.49,42.48,1.01,2.3776,19556.88,84733.527,1.6314,0.81,38.5187,4.1418,521345.073
688677.SH,2025-09-08,44.42,46.12,43.25,46.11,43.49,2.62,6.0244,31722.04,143026.778,2.6462,1.36,40.8392,4.3913,552752.847
688677.SH,2025-09-09,45.98,46.47,44.87,45.45,46.11,-0.66,-1.4314,18900.14,85888.383,1.5766,0.81,40.2547,4.3284,544840.965
688677.SH,2025-09-10,45.41,46.03,45.01,45.13,45.45,-0.32,-0.7041,12984.44,58842.444,1.0831,0.61,39.9712,4.298,541004.901
688677.SH,2025-09-11,45.12,45.72,44.01,45.28,45.13,0.15,0.3324,16071.59,72535.105,1.3407,0.79,40.1041,4.3123,542803.056
688677.SH,2025-09-12,45.82,45.85,44.64,45.38,45.28,0.1,0.2208,19257.29,86969.969,1.6064,0.97,40.1927,4.3218,544001.826
