ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688206.SH,2025-05-13,24.07,24.38,23.34,24.2,23.75,0.45,1.8947,61905.63,147865.275,3.4938,0.84,,5.358,1050113.8549
688206.SH,2025-05-14,24.1,24.3,23.4,23.67,24.2,-0.53,-2.1901,35810.91,84929.049,2.0211,0.56,,5.2406,1027115.4936
688206.SH,2025-05-15,23.49,23.87,23.23,23.65,23.67,-0.02,-0.0845,28896.28,68071.865,1.6308,0.49,,5.2362,1026247.6309
688206.SH,2025-05-16,23.72,24.04,23.4,23.75,23.65,0.1,0.4228,28243.17,67246.185,1.594,0.61,,5.2584,1030586.9444
688206.SH,2025-05-19,24.28,24.53,23.6,23.75,23.75,0.0,0.0,44274.68,106590.793,2.4988,1.11,,5.2584,1030586.9444
688206.SH,2025-05-20,23.85,23.95,23.4,23.55,23.75,-0.2,-0.8421,29515.5,69608.37,1.6658,0.74,,5.2141,1021908.3175
688206.SH,2025-05-21,23.64,24.22,23.25,23.85,23.55,0.3,1.2739,32721.22,77567.346,1.8467,0.98,,5.2805,1034926.2578
688206.SH,2025-05-22,23.77,23.96,23.22,23.55,23.85,-0.3,-1.2579,30043.56,70670.814,1.6956,0.92,,5.229,1024843.8438
688206.SH,2025-05-23,23.46,24.49,23.27,23.27,23.55,-0.28,-1.189,34267.48,81567.418,1.934,1.04,,5.1669,1012658.8639
688206.SH,2025-05-26,23.2,23.89,23.19,23.41,23.27,0.14,0.6016,26609.74,62640.891,1.4913,0.78,,5.138,1018751.3539
688206.SH,2025-05-27,23.47,23.58,23.08,23.52,23.41,0.11,0.4699,20704.27,48304.975,1.1603,0.68,,5.1622,1023538.3103
688206.SH,2025-05-28,23.31,23.79,23.0,23.14,23.52,-0.38,-1.6156,21428.56,49822.013,1.2009,0.74,,5.0788,1007001.5518
688206.SH,2025-05-29,25.73,27.77,25.7,27.77,23.14,4.63,20.0086,218574.69,591776.128,12.2497,8.21,,6.095,1208488.8978
688206.SH,2025-05-30,28.0,29.22,26.28,28.95,27.77,1.18,4.2492,322942.82,899194.159,18.0988,5.02,,6.354,1259839.8844
688206.SH,2025-06-03,28.19,33.19,27.6,31.79,28.95,2.84,9.81,303089.27,917733.398,16.9862,2.48,,6.9773,1383430.3947
688206.SH,2025-06-04,30.89,30.95,28.64,28.8,31.79,-2.99,-9.4055,249276.34,740311.144,13.9703,1.41,,6.321,1253312.2166
688206.SH,2025-06-05,28.23,28.92,27.66,28.85,28.8,0.05,0.1736,195264.27,551440.581,10.9433,0.88,,6.332,1255488.1059
688206.SH,2025-06-06,28.25,28.31,27.03,27.66,28.85,-1.19,-4.1248,128956.28,357349.041,7.2271,0.5,,6.0708,1203701.9414
688206.SH,2025-06-09,27.66,27.91,27.3,27.45,27.66,-0.21,-0.7592,96676.82,265945.428,5.4181,0.4,,6.0247,1194563.2065
