ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688799.SH,2025-05-13,41.5,44.4,41.31,42.82,41.49,1.33,3.2056,40230.66,173033.964,4.289,1.47,24.4437,2.1677,401651.6
688799.SH,2025-05-14,43.25,44.0,42.43,42.6,42.82,-0.22,-0.5138,26609.27,114606.514,2.8368,0.95,24.3181,2.1566,399588.0
688799.SH,2025-05-15,42.83,43.2,42.0,42.84,42.6,0.24,0.5634,21416.78,91601.822,2.2832,0.76,24.4551,2.1688,401839.2
688799.SH,2025-05-16,42.89,43.39,42.16,43.39,42.84,0.55,1.2838,16199.42,69600.474,1.727,0.57,24.769,2.1966,406998.2
688799.SH,2025-05-19,43.37,43.43,42.1,43.21,43.39,-0.18,-0.4148,18847.7,80471.678,2.0093,0.67,24.6663,2.1875,405309.8
688799.SH,2025-05-20,43.85,44.75,43.01,44.75,43.21,1.54,3.564,40123.36,176711.234,4.2775,1.63,25.5454,2.2655,419755.0
688799.SH,2025-05-21,45.3,48.88,44.52,47.99,44.75,3.24,7.2402,58479.47,274246.291,6.2345,2.37,27.3949,2.4295,450146.2
688799.SH,2025-05-22,48.45,49.15,45.6,47.82,47.99,-0.17,-0.3542,64001.02,305122.338,6.8231,2.06,27.2979,2.4209,448551.6
688799.SH,2025-05-23,48.15,50.6,47.68,49.51,47.82,1.69,3.5341,62731.04,307964.071,6.6877,1.59,28.2626,2.5064,464403.8
688799.SH,2025-05-26,49.02,49.24,46.94,47.85,49.51,-1.66,-3.3529,38546.94,184848.618,4.1095,0.79,27.315,2.4224,448833.0
688799.SH,2025-05-27,47.67,49.57,46.98,48.12,47.85,0.27,0.5643,24439.09,117945.997,2.6054,0.46,27.4691,2.4361,451365.6
688799.SH,2025-05-28,47.99,53.2,47.95,51.88,48.12,3.76,7.8138,61653.59,314484.81,6.5729,1.24,29.6155,2.6264,486634.4
688799.SH,2025-05-29,36.46,42.99,35.6,41.05,36.63,4.42,12.0666,132657.51,530509.546,10.1019,2.64,32.8066,3.0005,539068.6
688799.SH,2025-05-30,40.78,49.26,40.1,46.36,41.05,5.31,12.9354,173893.08,808927.498,13.2419,2.72,37.0502,3.3887,608799.52
688799.SH,2025-06-03,44.28,55.63,44.28,55.63,46.36,9.27,19.9957,173788.9,857449.186,13.234,2.02,44.4587,4.0663,730533.16
688799.SH,2025-06-04,53.5,53.97,49.6,50.15,55.63,-5.48,-9.8508,139480.53,712588.745,10.6214,1.23,40.0792,3.6657,658569.8
688799.SH,2025-06-05,49.87,51.22,47.49,49.0,50.15,-1.15,-2.2931,106457.89,518049.504,8.1068,0.78,39.1601,3.5816,643468.0
688799.SH,2025-06-06,48.98,49.85,46.52,49.17,49.0,0.17,0.3469,92602.05,444921.048,7.0516,0.64,39.296,3.5941,645700.44
688799.SH,2025-06-09,47.66,52.87,47.5,52.0,49.17,2.83,5.7555,98850.32,504172.003,7.5274,0.72,41.5576,3.8009,682864.0
688799.SH,2025-06-10,49.74,54.99,48.5,52.04,52.0,0.04,0.0769,83843.4,429829.041,6.3847,0.69,41.5896,3.8038,683389.28
688799.SH,2025-06-11,51.35,54.8,50.29,54.8,52.04,2.76,5.3036,80350.37,424971.682,6.1187,0.77,43.7954,4.0056,719633.6
688799.SH,2025-06-12,53.8,54.99,51.5,53.4,54.8,-1.4,-2.5547,73083.32,386379.081,5.5653,0.79,42.6765,3.9033,701248.8
688799.SH,2025-06-13,51.61,52.9,49.8,50.96,53.4,-2.44,-4.5693,61482.02,313885.297,4.6818,0.72,40.7265,3.7249,669206.72
688799.SH,2025-06-16,51.4,51.75,48.51,49.58,50.96,-1.38,-2.708,56272.91,280337.458,4.2852,0.71,39.6236,3.624,651084.56
688799.SH,2025-06-17,49.46,49.6,44.61,44.95,49.58,-4.63,-9.3384,105432.21,488393.297,8.0286,1.48,35.9234,3.2856,590283.4
688799.SH,2025-06-18,44.1,45.33,43.9,44.18,44.95,-0.77,-1.713,40843.81,181844.62,3.1103,0.54,35.308,3.2293,580171.76
688799.SH,2025-06-19,45.28,45.67,41.81,41.95,44.18,-2.23,-5.0475,52262.23,225463.916,3.9798,0.78,33.5258,3.0663,550887.4
