ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000688.SH,20240510,767.1724,778.1523,778.5605,764.439,778.8728,-11.7004,-1.5022,18440335.0,54642285.734
000688.SH,20240513,763.6902,760.0977,769.2053,757.9635,767.1724,-3.4822,-0.4539,18791632.0,53977392.084
000688.SH,20240514,760.3046,766.6452,769.4159,759.4327,763.6902,-3.3856,-0.4433,15472971.0,45269222.796
000688.SH,20240515,749.4741,758.7998,760.0837,749.2219,760.3046,-10.8305,-1.4245,13491056.0,39431834.558
000688.SH,20240516,746.4714,753.4523,755.1738,745.0172,749.4741,-3.0027,-0.4006,15060795.0,43341764.395
000688.SH,20240517,754.4177,743.7945,754.5608,741.8559,746.4714,7.9463,1.0645,16810362.0,45479409.947
000688.SH,20240520,753.5417,752.2018,761.1733,749.807,754.4177,-0.876,-0.1161,18255758.0,54188051.565
000688.SH,20240521,748.2354,752.2879,755.4613,747.3057,753.5417,-5.3063,-0.7042,14797268.0,43757015.769
000688.SH,20240522,754.9728,749.9091,756.6957,743.6822,748.2354,6.7374,0.9004,17875265.0,47104991.869
000688.SH,20240523,742.3956,754.4028,755.4,741.4118,754.9728,-12.5772,-1.6659,17360466.0,47237906.836
000688.SH,20240524,727.2069,741.6769,746.3954,726.8663,742.3956,-15.1887,-2.0459,17035306.0,48144600.377
000688.SH,20240527,738.6533,726.3661,739.4492,719.5413,727.2069,11.4464,1.574,18033003.0,52737526.593
000688.SH,20240528,734.8485,736.6999,746.295,734.5837,738.6533,-3.8048,-0.5151,16252414.0,46263616.462
000688.SH,20240529,734.3334,734.2882,741.337,731.5313,734.8485,-0.5151,-0.0701,15606172.0,40100996.556
000688.SH,20240530,742.7038,733.5473,746.2628,730.3387,734.3334,8.3704,1.1399,16472358.0,44808112.644
000688.SH,20240531,743.2275,743.1773,751.3954,741.3514,742.7038,0.5237,0.0705,17256354.0,46039605.004
000688.SH,20240603,750.427,743.6078,754.6477,742.2046,743.2275,7.1995,0.9687,24023261.0,60802196.433
000688.SH,20240604,753.6377,748.3021,755.2522,746.5304,750.427,3.2107,0.4278,19203401.0,48176424.871
000688.SH,20240605,752.0444,752.0488,762.2622,751.3513,753.6377,-1.5933,-0.2114,16498547.0,45466641.0
000688.SH,20240606,743.229,756.7882,759.2429,741.6784,752.0444,-8.8154,-1.1722,22550234.0,55803507.95
000688.SH,20240607,737.926,744.3852,749.4184,731.5192,743.229,-5.303,-0.7135,16720502.0,45120126.315
000688.SH,20240611,755.8345,735.8374,756.5254,734.7608,737.926,17.9085,2.4269,19587723.0,55350331.963
000688.SH,20240612,754.9332,758.3821,761.5984,753.6073,755.8345,-0.9013,-0.1192,18227638.0,53808242.843
000688.SH,20240613,758.9816,758.6061,765.9496,755.6062,754.9332,4.0484,0.5363,25978950.0,69949751.48
000688.SH,20240614,754.2607,756.4109,756.5347,750.4948,758.9816,-4.7209,-0.622,29506159.0,77877050.718
000688.SH,20240617,757.106,749.9432,759.9313,748.6959,754.2607,2.8453,0.3772,22019578.0,62197998.859
000688.SH,20240618,756.9042,757.8521,763.8241,753.5545,757.106,-0.2018,-0.0267,19653822.0,55349393.172
000688.SH,20240619,751.6883,758.4099,759.1351,747.7447,756.9042,-5.2159,-0.6891,19207461.0,56055144.089
