ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688138.SH,2025-05-13,28.39,28.45,27.37,27.61,28.11,-0.5,-1.7787,35953.39,99854.749,1.3476,0.75,50.529,3.1932,869162.8
688138.SH,2025-05-14,27.66,28.2,26.9,27.28,27.61,-0.33,-1.1952,37662.43,103480.293,1.4116,0.85,49.9251,3.155,858774.4
688138.SH,2025-05-15,27.4,27.4,26.37,26.38,27.28,-0.9,-3.2991,32971.42,87807.703,1.2358,0.91,48.278,3.0509,830442.4
688138.SH,2025-05-16,26.3,26.69,26.18,26.45,26.38,0.07,0.2654,14761.0,39126.749,0.5533,0.43,48.4061,3.059,832646.0
688138.SH,2025-05-19,26.87,26.88,26.31,26.5,26.45,0.05,0.189,18458.68,48962.686,0.6919,0.62,48.4976,3.0648,834220.0
688138.SH,2025-05-20,26.3,26.99,26.11,26.73,26.5,0.23,0.8679,25185.4,67024.036,0.944,0.9,48.9185,3.0914,841460.4
688138.SH,2025-05-21,26.6,26.64,26.04,26.47,26.73,-0.26,-0.9727,19992.57,52661.146,0.7493,0.77,48.4427,3.0613,833275.6
688138.SH,2025-05-22,26.31,26.82,25.76,25.8,26.47,-0.67,-2.5312,20584.44,53878.637,0.7715,0.92,47.2165,2.9838,812184.0
688138.SH,2025-05-23,25.92,26.25,25.55,25.63,25.8,-0.17,-0.6589,18074.59,46822.451,0.6775,0.91,46.9054,2.9642,806832.4
688138.SH,2025-05-26,25.7,26.2,25.59,26.0,25.63,0.37,1.4436,18145.97,47021.954,0.6801,0.89,47.5826,3.007,818480.0
688138.SH,2025-05-27,26.0,26.0,25.36,25.59,26.0,-0.41,-1.5769,15134.63,38702.038,0.5673,0.74,46.8322,2.9595,805573.2
688138.SH,2025-05-28,25.53,25.63,25.08,25.2,25.59,-0.39,-1.524,16557.33,41915.281,0.6206,0.9,46.1185,2.9144,793296.0
688138.SH,2025-05-29,25.2,25.66,25.2,25.47,25.2,0.27,1.0714,20255.15,51629.601,0.7592,1.14,46.6126,2.9457,801795.6
