ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688030.SH,2025-05-13,15.93,15.94,15.5,15.59,15.73,-0.14,-0.89,13138.01,20591.776,0.7289,0.84,,3.3826,280982.7138
688030.SH,2025-05-14,15.54,15.76,15.25,15.35,15.59,-0.24,-1.5394,13617.19,21037.81,0.7555,0.88,,3.3306,276657.13
688030.SH,2025-05-15,15.45,15.48,15.04,15.16,15.35,-0.19,-1.2378,11082.12,16803.82,0.6149,0.72,,3.2893,273232.7095
688030.SH,2025-05-16,15.24,15.31,15.01,15.09,15.16,-0.07,-0.4617,9704.84,14760.619,0.5385,0.69,,3.2741,271971.0809
688030.SH,2025-05-19,15.04,15.35,14.96,15.25,15.09,0.16,1.0603,9917.41,15050.186,0.5503,0.71,,3.3089,274854.8035
688030.SH,2025-05-20,15.31,15.43,15.15,15.36,15.25,0.11,0.7213,10213.38,15655.022,0.5667,0.89,,3.3327,276837.3627
688030.SH,2025-05-21,15.38,15.38,14.97,15.05,15.36,-0.31,-2.0182,12939.31,19551.442,0.7179,1.19,,3.2655,271250.1503
688030.SH,2025-05-22,15.09,15.33,14.92,14.97,15.05,-0.08,-0.5316,11809.29,17852.975,0.6552,1.1,,3.2481,269808.289
688030.SH,2025-05-23,15.02,15.35,14.8,14.8,14.97,-0.17,-1.1356,12073.82,18165.568,0.6699,1.11,,3.2112,266744.3338
688030.SH,2025-05-26,14.95,15.01,14.7,14.87,14.8,0.07,0.473,8363.66,12428.23,0.464,0.73,,3.2264,268005.9624
688030.SH,2025-05-27,15.05,15.05,14.66,14.76,14.87,-0.11,-0.7397,8061.22,11885.526,0.4473,0.73,,3.2025,266023.4032
688030.SH,2025-05-28,14.81,14.93,14.61,14.66,14.76,-0.1,-0.6775,6652.27,9794.915,0.3691,0.62,,3.1808,264221.0766
688030.SH,2025-05-29,14.6,15.27,14.6,15.26,14.66,0.6,4.0928,14227.81,21405.104,0.7894,1.51,,3.311,275035.0361
688030.SH,2025-05-30,15.24,15.26,14.78,14.85,15.26,-0.41,-2.6868,9668.9,14464.387,0.5365,0.98,,3.2221,267645.4971
688030.SH,2025-06-03,14.91,15.3,14.83,14.95,14.85,0.1,0.6734,10429.76,15736.728,0.5787,1.11,,3.2438,269447.8237
688030.SH,2025-06-04,14.95,15.19,14.95,15.03,14.95,0.08,0.5351,9173.16,13832.805,0.509,0.94,,3.2611,270889.685
688030.SH,2025-06-05,15.03,15.45,14.98,15.33,15.03,0.3,1.996,15610.6,23712.671,0.8661,1.56,,3.3262,276296.6647
688030.SH,2025-06-06,15.34,15.75,15.26,15.6,15.33,0.27,1.7613,15674.11,24345.645,0.8697,1.33,,3.3848,281162.9465
688030.SH,2025-06-09,15.58,15.76,15.51,15.58,15.6,-0.02,-0.1282,17266.66,26966.06,0.958,1.43,,3.3805,280802.4812
688030.SH,2025-06-10,15.69,15.7,15.02,15.27,15.58,-0.31,-1.9897,16289.48,24870.124,0.9038,1.2,,3.3132,275215.2688
688030.SH,2025-06-11,15.27,15.57,15.24,15.28,15.27,0.01,0.0655,8767.17,13491.447,0.4864,0.59,,3.3154,275395.5014
688030.SH,2025-06-12,15.26,15.4,15.04,15.3,15.28,0.02,0.1309,9059.04,13821.482,0.5026,0.62,,3.3197,275755.9667
688030.SH,2025-06-13,15.26,15.26,14.92,14.95,15.3,-0.35,-2.2876,13556.95,20376.151,0.7522,1.01,,3.2438,269447.8237
688030.SH,2025-06-16,15.03,15.35,14.96,15.2,14.95,0.25,1.6722,9260.97,14086.991,0.5138,0.71,,3.298,273953.6402
688030.SH,2025-06-17,15.2,15.32,15.06,15.26,15.2,0.06,0.3947,9624.15,14629.694,0.534,0.85,,3.311,275035.0361
688030.SH,2025-06-18,15.2,15.4,15.12,15.31,15.26,0.05,0.3277,12753.63,19484.675,0.7076,1.27,,3.3219,275936.1994
688030.SH,2025-06-19,15.37,15.68,15.0,15.06,15.31,-0.25,-1.6329,13084.41,20107.923,0.726,1.21,,3.2676,271430.3829
688030.SH,2025-06-20,15.2,15.23,14.73,14.77,15.06,-0.29,-1.9256,10399.0,15526.285,0.577,0.89,,3.2047,266203.6359
688030.SH,2025-06-23,14.86,15.28,14.64,15.27,14.77,0.5,3.3852,11577.43,17434.209,0.6424,1.05,,3.3132,275215.2688
688030.SH,2025-06-24,15.3,15.74,15.21,15.69,15.27,0.42,2.7505,12641.27,19633.712,0.7014,1.1,,3.4043,282785.0404
688030.SH,2025-06-25,15.7,15.85,15.44,15.83,15.69,0.14,0.8923,15225.68,23925.702,0.8448,1.26,,3.4347,285308.2976
688030.SH,2025-06-26,15.87,16.24,15.65,15.88,15.83,0.05,0.3159,23245.01,37014.918,1.2897,1.85,,3.4456,286209.4609
688030.SH,2025-06-27,15.85,16.09,15.71,15.74,15.88,-0.14,-0.8816,21863.6,34641.104,1.2131,1.5,,3.4152,283686.2037
688030.SH,2025-06-30,16.21,16.29,15.86,15.99,15.74,0.25,1.5883,14198.34,22709.519,0.7878,0.84,,3.4694,288192.0201
688030.SH,2025-07-01,15.99,16.21,15.72,15.72,15.99,-0.27,-1.6886,13197.28,20902.817,0.7322,0.76,,3.4108,283325.7384
688030.SH,2025-07-02,15.8,15.8,15.5,15.62,15.72,-0.1,-0.6361,13698.98,21381.152,0.7601,0.78,,3.3891,281523.4118
688030.SH,2025-07-03,15.76,15.97,15.6,15.79,15.62,0.17,1.0883,19560.63,30942.083,1.0853,1.13,,3.426,284587.367
688030.SH,2025-07-04,15.83,15.83,15.54,15.66,15.79,-0.13,-0.8233,14601.03,22900.865,0.8101,0.88,,3.3978,282244.3424
688030.SH,2025-07-07,15.59,15.8,15.59,15.73,15.66,0.07,0.447,9274.56,14561.636,0.5146,0.62,,3.413,283505.971
688030.SH,2025-07-08,15.82,15.92,15.71,15.85,15.73,0.12,0.7629,9112.42,14442.341,0.5056,0.65,,3.439,285668.7629
688030.SH,2025-07-09,15.85,15.88,15.66,15.77,15.85,-0.08,-0.5047,14452.3,22822.754,0.8019,1.09,,3.4217,284226.9017
688030.SH,2025-07-10,15.84,16.01,15.65,15.86,15.77,0.09,0.5707,17320.81,27415.349,0.961,1.29,,3.4412,285848.9956
688030.SH,2025-07-11,15.88,16.18,15.76,16.15,15.86,0.29,1.8285,20487.61,32858.919,1.1367,1.58,,3.5041,291075.7427
688030.SH,2025-07-14,16.5,16.6,16.16,16.29,16.15,0.14,0.8669,20455.59,33370.001,1.135,1.45,,3.5345,293598.9999
688030.SH,2025-07-15,16.15,16.92,16.11,16.81,16.29,0.52,3.1921,34028.0,56241.522,1.888,2.08,,3.6473,302971.0981
688030.SH,2025-07-16,16.78,17.25,16.64,16.98,16.81,0.17,1.0113,26645.72,45288.892,1.4784,1.25,,3.6842,306035.0533
688030.SH,2025-07-17,16.92,17.75,16.89,17.58,16.98,0.6,3.5336,42138.39,73163.761,2.338,1.77,,3.8144,316849.0128
688030.SH,2025-07-18,17.55,17.73,17.35,17.45,17.58,-0.13,-0.7395,28236.49,49368.477,1.5667,0.98,,3.7862,314505.9882
688030.SH,2025-07-21,17.62,17.62,17.29,17.48,17.45,0.03,0.1719,20954.38,36554.92,1.1626,0.69,,3.7927,315046.6862
688030.SH,2025-07-22,17.47,17.61,17.28,17.39,17.48,-0.09,-0.5149,16001.7,27916.526,0.8878,0.53,,3.7732,313424.5923
688030.SH,2025-07-23,17.43,17.45,17.19,17.22,17.39,-0.17,-0.9776,16122.63,27930.358,0.8945,0.6,,3.7363,310360.6371
688030.SH,2025-07-24,17.37,17.71,17.23,17.36,17.22,0.14,0.813,26340.12,45728.784,1.4615,1.07,,3.7667,312883.8943
688030.SH,2025-07-25,17.37,17.75,17.3,17.75,17.36,0.39,2.2465,22130.17,38797.485,1.2279,1.03,,3.8513,319912.968
688030.SH,2025-07-28,17.95,18.38,17.69,18.18,17.75,0.43,2.4225,30439.73,54942.888,1.6889,1.5,,3.9446,327662.9722
688030.SH,2025-07-29,18.14,18.14,17.85,18.0,18.18,-0.18,-0.9901,16030.02,28795.406,0.8894,0.72,,3.9055,324418.7844
688030.SH,2025-07-30,17.97,18.25,17.8,17.96,18.0,-0.04,-0.2222,21768.74,39208.99,1.2078,0.98,,3.8969,323697.8538
688030.SH,2025-07-31,17.96,18.48,17.96,18.03,17.96,0.07,0.3898,32820.5,59807.441,1.821,1.41,,3.912,324959.4824
688030.SH,2025-08-01,18.2,19.0,18.05,18.81,18.03,0.78,4.3261,47254.96,87908.096,2.6219,1.92,,4.0813,339017.6297
688030.SH,2025-08-04,18.79,19.75,18.66,19.52,18.81,0.71,3.7746,59651.77,115299.484,3.3097,2.01,,4.2353,351814.1484
688030.SH,2025-08-05,19.53,19.8,19.06,19.34,19.52,-0.18,-0.9221,46260.98,89476.167,2.5667,1.3,,4.1963,348569.9606
688030.SH,2025-08-06,19.34,19.92,19.1,19.71,19.34,0.37,1.9131,38448.27,75210.999,2.1333,0.93,,4.2766,355238.5689
688030.SH,2025-08-07,19.75,21.21,19.7,20.61,19.71,0.9,4.5662,73556.72,151717.833,4.0812,1.64,,4.4718,371459.5081
