ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688376.SH,2025-05-13,36.07,36.33,35.73,35.79,36.02,-0.23,-0.6385,7712.08,27760.616,1.5126,0.65,25.0545,2.6132,481017.6
688376.SH,2025-05-14,35.83,36.0,35.03,35.41,35.79,-0.38,-1.0617,9796.73,34641.617,1.9215,0.9,24.7885,2.5855,475910.4
688376.SH,2025-05-15,35.44,35.63,34.81,34.91,35.41,-0.5,-1.412,7589.3,26654.955,1.4885,0.84,24.4385,2.549,469190.4
688376.SH,2025-05-16,35.0,35.55,34.6,34.65,34.91,-0.26,-0.7448,8709.56,30499.439,1.7082,1.0,24.2565,2.53,465696.0
688376.SH,2025-05-19,34.66,35.24,34.51,35.15,34.65,0.5,1.443,5788.19,20256.624,1.1353,0.66,24.6065,2.5665,472416.0
688376.SH,2025-05-20,35.45,35.89,35.04,35.2,35.15,0.05,0.1422,8759.72,31010.544,1.7181,1.11,24.6415,2.5702,473088.0
688376.SH,2025-05-21,35.3,35.35,35.0,35.27,35.2,0.07,0.1989,6462.86,22739.241,1.2676,0.8,24.6905,2.5753,474028.8
688376.SH,2025-05-22,35.35,35.48,34.66,34.66,35.27,-0.61,-1.7295,9531.59,33332.791,1.8695,1.28,24.2635,2.5307,465830.4
688376.SH,2025-05-23,34.97,35.2,34.6,34.7,34.66,0.04,0.1154,6591.42,22967.694,1.2928,0.84,24.2915,2.5337,466368.0
688376.SH,2025-05-26,34.96,35.48,34.37,34.51,34.7,-0.19,-0.5476,9736.23,33933.541,1.9096,1.31,24.1585,2.5198,463814.4
688376.SH,2025-05-27,34.59,35.14,34.0,34.65,34.51,0.14,0.4057,7883.3,27338.346,1.5462,0.96,24.2565,2.53,465696.0
688376.SH,2025-05-28,34.63,35.46,34.53,34.78,34.65,0.13,0.3752,8550.19,29879.89,1.677,1.06,24.3475,2.5395,467443.2
688376.SH,2025-05-29,34.89,35.89,34.61,35.79,34.78,1.01,2.904,9178.12,32491.836,1.8001,1.09,25.0545,2.6132,481017.6
688376.SH,2025-05-30,35.68,35.68,34.93,35.03,35.79,-0.76,-2.1235,4508.7,15833.676,0.8843,0.54,24.5225,2.5577,470803.2
688376.SH,2025-06-03,34.98,35.24,34.75,34.9,35.03,-0.13,-0.3711,4105.08,14328.53,0.8051,0.51,24.4315,2.5483,469056.0
688376.SH,2025-06-04,34.88,35.43,34.81,35.12,34.9,0.22,0.6304,4366.16,15356.826,0.8564,0.64,24.5855,2.5643,472012.8
688376.SH,2025-06-05,35.15,35.19,34.78,35.09,35.12,-0.03,-0.0854,4876.28,17051.734,0.9564,0.79,24.5645,2.5621,471609.6
688376.SH,2025-06-06,35.1,35.31,34.87,35.08,35.09,-0.01,-0.0285,3691.34,12958.977,0.724,0.68,24.5575,2.5614,471475.2
688376.SH,2025-06-09,35.15,35.58,34.93,35.39,35.08,0.31,0.8837,5378.8,18975.479,1.055,1.25,24.7745,2.584,475641.6
688376.SH,2025-06-10,35.2,35.31,34.1,34.56,35.39,-0.83,-2.3453,13053.62,45254.913,2.5603,2.91,24.1935,2.5234,464486.4
688376.SH,2025-06-11,34.45,35.37,34.45,35.02,34.56,0.46,1.331,6142.74,21540.88,1.2048,0.98,24.5155,2.557,470668.8
688376.SH,2025-06-12,35.02,35.22,34.81,34.88,35.02,-0.14,-0.3998,3049.09,10669.631,0.598,0.46,24.4175,2.5468,468787.2
688376.SH,2025-06-13,34.83,35.19,34.43,34.71,34.88,-0.17,-0.4874,5955.13,20696.367,1.168,0.95,24.2985,2.5344,466502.4
688376.SH,2025-06-16,34.6,34.94,34.6,34.75,34.71,0.04,0.1152,3701.43,12852.229,0.726,0.55,24.3265,2.5373,467040.0
688376.SH,2025-06-17,35.45,35.45,34.25,34.49,34.75,-0.26,-0.7482,5938.46,20619.155,1.1647,0.93,24.1445,2.5183,463545.6
688376.SH,2025-06-18,34.5,34.8,33.99,34.33,34.49,-0.16,-0.4639,4110.03,14055.831,0.8061,0.83,24.0325,2.5066,461395.2
688376.SH,2025-06-19,34.35,34.65,33.93,34.02,34.33,-0.31,-0.903,3576.05,12272.581,0.7014,0.79,23.8154,2.484,457228.8
688376.SH,2025-06-20,34.04,34.88,34.04,34.49,34.02,0.47,1.3815,5561.74,19198.629,1.0908,1.19,24.1445,2.5183,463545.6
688376.SH,2025-06-23,34.44,36.6,34.23,36.03,34.49,1.54,4.4651,19226.83,68857.518,3.771,4.2,25.2225,2.6308,484243.2
688376.SH,2025-06-24,36.12,36.55,35.93,36.38,36.03,0.35,0.9714,7586.35,27527.815,1.4879,0.99,25.4675,2.6563,488947.2
688376.SH,2025-06-25,36.71,36.71,36.14,36.38,36.38,0.0,0.0,7152.46,26018.18,1.4028,0.89,25.4675,2.6563,488947.2
688376.SH,2025-06-26,36.38,36.71,36.04,36.18,36.38,-0.2,-0.5498,5482.25,19931.566,1.0753,0.64,25.3275,2.6417,486259.2
688376.SH,2025-06-27,36.15,36.7,36.13,36.64,36.18,0.46,1.2714,5736.06,20933.369,1.125,0.64,25.6496,2.6753,492441.6
688376.SH,2025-06-30,36.9,37.98,36.81,37.27,36.64,0.63,1.7194,8038.56,30087.658,1.5766,0.89,26.0906,2.7213,500908.8
688376.SH,2025-07-01,37.6,38.67,37.13,37.55,37.27,0.28,0.7513,11044.48,41879.146,2.1662,1.62,26.2866,2.7417,504672.0
688376.SH,2025-07-02,37.5,37.51,36.7,36.89,37.55,-0.66,-1.7577,6817.59,25218.277,1.3372,0.91,25.8246,2.6936,495801.6
688376.SH,2025-07-03,36.89,38.31,36.62,37.69,36.89,0.8,2.1686,11632.96,43691.89,2.2816,1.57,26.3846,2.752,506553.6
688376.SH,2025-07-04,38.01,38.01,36.9,36.97,37.69,-0.72,-1.9103,6462.53,24069.874,1.2675,0.75,25.8806,2.6994,496876.8
688376.SH,2025-07-07,37.1,37.19,36.76,36.96,36.97,-0.01,-0.027,3415.63,12621.706,0.6699,0.39,25.8736,2.6987,496742.4
688376.SH,2025-07-08,37.17,37.44,36.83,37.27,36.96,0.31,0.8387,3631.94,13491.638,0.7123,0.46,26.0906,2.7213,500908.8
688376.SH,2025-07-09,37.34,37.42,37.08,37.21,37.27,-0.06,-0.161,3782.98,14087.883,0.742,0.59,26.0486,2.7169,500102.4
688376.SH,2025-07-10,37.23,37.51,36.01,37.19,37.21,-0.02,-0.0537,5263.28,19440.548,1.0323,0.91,26.0346,2.7155,499833.6
688376.SH,2025-07-11,37.14,37.57,36.76,37.13,37.19,-0.06,-0.1613,6561.28,24375.463,1.2869,1.45,25.9926,2.7111,499027.2
688376.SH,2025-07-14,37.37,37.37,36.9,36.96,37.13,-0.17,-0.4579,3502.49,12984.304,0.687,0.77,25.8736,2.6987,496742.4
688376.SH,2025-07-15,37.04,37.57,36.61,36.86,36.96,-0.1,-0.2706,4775.95,17663.156,0.9367,1.05,25.8036,2.6914,495398.4
688376.SH,2025-07-16,36.68,38.06,36.68,37.22,36.86,0.36,0.9767,7058.15,26445.735,1.3843,1.48,26.0556,2.7177,500236.8
