ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688130.SH,2025-05-13,26.51,26.97,26.06,26.2,26.31,-0.11,-0.4181,10670.25,28199.182,3.5418,0.8,,1.9327,243990.7698
688130.SH,2025-05-14,26.04,26.39,25.48,25.8,26.2,-0.4,-1.5267,15942.03,41121.35,5.2917,1.21,,1.9032,240265.7198
688130.SH,2025-05-15,25.8,25.8,25.15,25.32,25.8,-0.48,-1.8605,8100.69,20495.996,2.6889,0.63,,1.8678,235795.6599
688130.SH,2025-05-16,25.32,25.66,25.02,25.37,25.32,0.05,0.1975,7823.29,19908.347,2.5968,0.62,,1.8715,236261.2912
688130.SH,2025-05-19,25.42,25.85,25.24,25.63,25.37,0.26,1.0248,8329.71,21312.889,2.7649,0.78,,1.8907,238682.5736
688130.SH,2025-05-20,25.42,25.96,25.29,25.9,25.63,0.27,1.0535,9157.12,23538.725,3.0396,0.9,,1.9106,241196.9823
688130.SH,2025-05-21,25.71,25.96,25.31,25.36,25.9,-0.54,-2.0849,8664.22,22124.382,2.876,0.88,,1.8708,236168.1649
688130.SH,2025-05-22,25.46,27.79,25.46,26.15,25.36,0.79,3.1151,27380.63,72666.024,9.0886,3.25,,1.9291,243525.1385
688130.SH,2025-05-23,26.5,26.6,25.31,25.32,26.15,-0.83,-3.174,20671.49,53502.138,6.8616,1.68,,1.8678,235795.6599
688130.SH,2025-05-26,25.39,25.57,24.87,25.49,25.32,0.17,0.6714,9543.48,24140.119,3.1678,0.64,,1.8804,237378.8062
688130.SH,2025-05-27,25.58,25.59,25.0,25.3,25.49,-0.19,-0.7454,8465.94,21338.23,2.8102,0.56,,1.8663,235609.4074
688130.SH,2025-05-28,25.4,25.57,24.83,25.03,25.3,-0.27,-1.0672,6814.32,17126.803,2.2619,0.46,,1.8464,233094.9987
688130.SH,2025-05-29,24.85,26.66,24.85,26.29,25.03,1.26,5.034,18008.37,46649.673,5.9776,1.24,,1.9394,244828.906
688130.SH,2025-05-30,26.15,26.16,25.25,25.37,26.29,-0.92,-3.4994,12416.56,31617.79,4.1215,0.98,,1.8715,236261.2912
688130.SH,2025-06-03,25.31,26.27,25.24,25.93,25.37,0.56,2.2073,10493.42,27075.089,3.4831,0.95,,1.9128,241476.3611
688130.SH,2025-06-04,25.93,26.19,25.52,25.75,25.93,-0.18,-0.6942,10355.74,26713.85,3.4374,0.92,,1.8995,239800.0886
688130.SH,2025-06-05,26.0,26.23,25.61,26.08,25.75,0.33,1.2816,9705.66,25208.144,3.2217,0.84,,1.9239,242873.2548
688130.SH,2025-06-06,26.06,26.22,25.88,26.07,26.08,-0.01,-0.0383,6189.22,16114.146,2.0544,0.51,,1.9232,242780.1285
688130.SH,2025-06-09,26.07,26.43,26.07,26.42,26.07,0.35,1.3425,7868.41,20713.37,2.6118,0.8,,1.949,246039.5472
688130.SH,2025-06-10,26.45,26.57,25.5,25.73,26.42,-0.69,-2.6117,9033.92,23416.547,2.9987,1.01,,1.8981,239613.8361
688130.SH,2025-06-11,25.73,26.34,25.63,26.01,25.73,0.28,1.0882,7616.72,19859.742,2.5283,0.88,,1.9187,242221.371
688130.SH,2025-06-12,25.77,26.25,25.77,25.96,26.01,-0.05,-0.1922,5836.47,15182.649,1.9373,0.72,,1.915,241755.7398
688130.SH,2025-06-13,20.15,20.31,19.54,19.75,20.0,-0.25,-1.25,10857.64,21609.411,2.7846,1.49,,1.8913,238759.9107
688130.SH,2025-06-16,19.59,20.22,19.58,20.17,19.75,0.42,2.1266,8237.7,16517.222,2.1127,1.0,,1.9315,243837.3366
688130.SH,2025-06-17,20.18,20.32,19.97,20.18,20.17,0.01,0.0496,7549.98,15195.738,1.9363,0.91,,1.9325,243958.2277
688130.SH,2025-06-18,19.97,20.98,19.89,20.73,20.18,0.55,2.7255,16166.31,33167.339,4.1462,2.02,,1.9852,250607.2379
688130.SH,2025-06-19,20.55,21.1,20.23,20.91,20.73,0.18,0.8683,22368.39,46477.33,5.7368,2.3,,2.0024,252783.2776
688130.SH,2025-06-20,21.0,21.0,20.21,20.37,20.91,-0.54,-2.5825,15046.86,30984.896,3.8591,1.15,,1.9507,246255.1585
688130.SH,2025-06-23,20.0,20.85,20.0,20.77,20.37,0.4,1.9637,13448.6,27724.881,3.4491,0.97,,1.989,251090.8022
688130.SH,2025-06-24,20.95,21.25,20.6,21.13,20.77,0.36,1.7333,18384.93,38566.7,4.7152,1.23,,2.0235,255442.8816
688130.SH,2025-06-25,21.26,21.6,20.92,21.45,21.13,0.32,1.5144,21536.09,45838.244,5.5233,1.26,,2.0541,259311.3966
688130.SH,2025-06-26,21.6,23.38,21.27,22.01,21.45,0.56,2.6107,52855.56,118508.815,13.5558,2.91,,2.1077,266081.2979
688130.SH,2025-06-27,22.5,22.58,21.81,21.9,22.01,-0.11,-0.4998,36689.96,81282.301,9.4098,1.51,,2.0972,264751.4959
688130.SH,2025-06-30,22.08,22.51,21.95,22.1,21.9,0.2,0.9132,21261.36,47134.703,5.4529,0.74,,2.1163,267169.3177
688130.SH,2025-07-01,22.03,22.96,21.84,22.15,22.1,0.05,0.2262,29264.09,65569.807,7.5053,0.97,,2.1211,267773.7732
688130.SH,2025-07-02,22.04,22.11,21.34,21.66,22.15,-0.49,-2.2122,26742.4,57705.378,6.8586,0.83,,2.0742,261850.1096
688130.SH,2025-07-03,21.73,21.89,21.32,21.61,21.66,-0.05,-0.2308,14736.91,31797.883,3.7796,0.44,,2.0694,261245.6541
688130.SH,2025-07-04,21.55,21.93,21.1,21.48,21.61,-0.13,-0.6016,20540.48,44127.187,5.268,0.8,,2.057,259674.0699
