ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688548.SH,2025-05-13,10.66,10.66,10.13,10.17,10.58,-0.41,-3.8752,133870.21,137989.089,1.9649,1.69,54.1151,2.2812,1341828.2959
688548.SH,2025-05-14,10.2,10.42,10.13,10.31,10.17,0.14,1.3766,95451.68,98159.238,1.401,1.07,54.86,2.3126,1360299.8752
688548.SH,2025-05-15,10.21,10.38,10.2,10.27,10.31,-0.04,-0.388,38021.83,39086.205,0.5581,0.42,54.6472,2.3036,1355022.2811
688548.SH,2025-05-16,10.44,10.44,10.17,10.2,10.27,-0.07,-0.6816,59013.55,60682.271,0.8662,0.75,54.2747,2.2879,1345786.4914
688548.SH,2025-05-19,10.18,10.32,10.07,10.11,10.2,-0.09,-0.8824,84852.37,86383.118,1.2454,1.11,53.7958,2.2678,1333911.9047
688548.SH,2025-05-20,10.12,10.13,9.98,10.03,10.11,-0.08,-0.7913,109974.91,110529.294,1.6142,1.34,53.3701,2.2498,1323356.7166
688548.SH,2025-05-21,10.03,10.09,9.93,10.05,10.03,0.02,0.1994,55747.75,55701.795,0.8182,0.72,53.4765,2.2543,1325995.5136
688548.SH,2025-05-22,10.0,10.08,9.91,9.93,10.05,-0.12,-1.194,55874.41,55736.807,0.8201,0.8,52.838,2.2274,1310162.7314
688548.SH,2025-05-23,9.93,10.01,9.79,9.81,9.93,-0.12,-1.2085,45566.88,45110.533,0.6688,0.62,52.1995,2.2005,1294329.9491
688548.SH,2025-05-26,9.83,9.91,9.76,9.83,9.81,0.02,0.2039,34266.7,33689.237,0.503,0.49,52.3059,2.205,1296968.7461
688548.SH,2025-05-27,9.86,10.11,9.77,10.08,9.83,0.25,2.5432,86325.5,86201.593,1.267,1.43,53.6362,2.261,1329953.7092
688548.SH,2025-05-28,10.1,10.1,9.97,9.98,10.08,-0.1,-0.9921,36839.06,36944.53,0.5407,0.66,53.1041,2.2386,1316759.724
688548.SH,2025-05-29,10.04,10.15,9.97,10.08,9.98,0.1,1.002,57318.18,57879.687,0.8413,1.11,53.6362,2.261,1329953.7092
688548.SH,2025-05-30,10.03,10.11,9.93,9.98,10.08,-0.1,-0.9921,42846.02,42849.214,0.6289,0.82,53.1041,2.2386,1316759.724
688548.SH,2025-06-03,9.98,10.04,9.81,9.89,9.98,-0.09,-0.9018,88548.2,87887.818,1.2997,1.72,52.6252,2.2184,1304885.1373
688548.SH,2025-06-04,9.89,9.93,9.68,9.87,9.89,-0.02,-0.2022,74321.39,73087.959,1.0909,1.19,52.5188,2.2139,1302246.3402
688548.SH,2025-06-05,9.88,10.08,9.83,9.97,9.87,0.1,1.0132,55141.95,54843.874,0.8093,0.92,53.0509,2.2364,1315440.3254
688548.SH,2025-06-06,9.94,10.05,9.89,9.93,9.97,-0.04,-0.4012,36689.0,36560.17,0.5385,0.58,52.838,2.2274,1310162.7314
688548.SH,2025-06-09,9.95,9.99,9.84,9.86,9.93,-0.07,-0.7049,79796.16,78958.119,1.1712,1.34,52.4655,2.2117,1300926.9417
688548.SH,2025-06-10,9.86,9.91,9.66,9.77,9.86,-0.09,-0.9128,50358.75,49349.918,0.7391,0.75,51.9866,2.1915,1289052.355
688548.SH,2025-06-11,9.77,10.07,9.77,9.99,9.77,0.22,2.2518,84733.79,84367.14,1.2437,1.43,53.1573,2.2408,1318079.1225
688548.SH,2025-06-12,10.0,10.05,9.86,10.0,9.99,0.01,0.1001,60769.94,60545.653,0.892,0.99,53.2105,2.2431,1319398.521
688548.SH,2025-06-13,10.0,10.02,9.71,9.76,10.0,-0.24,-2.4,123928.48,121750.487,1.819,1.98,51.9334,2.1893,1287732.9565
