ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688507.SH,2025-05-13,81.5,82.38,79.98,81.7,80.75,0.95,1.1765,14394.01,117163.383,2.9235,0.76,175.6422,2.5642,728018.7653
688507.SH,2025-05-14,80.88,82.5,80.27,80.77,81.7,-0.93,-1.1383,13307.28,108268.112,2.7028,0.7,173.6428,2.535,719731.6484
688507.SH,2025-05-15,80.1,80.6,75.99,76.69,80.77,-4.08,-5.0514,17736.45,137679.912,3.6024,0.96,164.8714,2.407,683375.2645
688507.SH,2025-05-16,76.15,77.97,75.02,76.43,76.69,-0.26,-0.339,11224.82,86546.461,2.2798,0.65,164.3125,2.3988,681058.4361
688507.SH,2025-05-19,77.01,83.31,76.24,81.7,76.43,5.27,6.8952,31656.11,252589.978,6.4295,2.13,175.6422,2.5642,728018.7653
688507.SH,2025-05-20,81.3,81.8,79.8,81.4,81.7,-0.3,-0.3672,15461.28,124586.538,3.1403,0.88,174.9972,2.5548,725345.5018
688507.SH,2025-05-21,81.3,81.3,77.77,78.57,81.4,-2.83,-3.4767,12663.08,99740.81,2.5719,0.71,168.9131,2.466,700127.7159
688507.SH,2025-05-22,78.47,79.2,76.89,77.8,78.57,-0.77,-0.98,14293.74,111270.081,2.9031,0.81,167.2578,2.4418,693266.3395
688507.SH,2025-05-23,78.0,80.0,76.5,77.4,77.8,-0.4,-0.5141,16034.31,125398.404,3.2566,0.94,166.3978,2.4292,689701.9882
688507.SH,2025-05-26,77.0,81.5,75.7,79.0,77.4,1.6,2.0672,19006.23,149635.842,3.8603,1.05,169.8376,2.4795,703959.3936
688507.SH,2025-05-27,79.0,79.0,76.8,76.98,79.0,-2.02,-2.557,10162.07,78577.769,2.064,0.66,165.4949,2.4161,685959.4192
688507.SH,2025-05-28,76.99,77.4,73.16,73.31,76.98,-3.67,-4.7675,19594.28,145995.195,3.9797,1.36,157.605,2.3009,653256.4955
688507.SH,2025-05-29,73.9,78.68,73.8,76.12,73.31,2.81,3.833,26117.3,200066.544,5.3045,1.65,163.646,2.3891,678296.0638
688507.SH,2025-05-30,76.0,76.89,72.0,73.01,76.12,-3.11,-4.0857,17330.03,126806.78,3.5198,0.95,156.96,2.2915,650583.232
688507.SH,2025-06-03,72.18,73.92,72.01,72.67,73.01,-0.34,-0.4657,10967.59,80003.558,2.2276,0.59,156.2291,2.2808,647553.5333
688507.SH,2025-06-04,72.52,73.69,72.34,72.68,72.67,0.01,0.0138,12141.46,88680.17,2.466,0.72,156.2506,2.2811,647642.6421
688507.SH,2025-06-05,72.9,73.59,71.55,73.03,72.5,0.53,0.731,9909.84,72116.779,2.0127,0.58,157.003,2.3052,650761.4496
688507.SH,2025-06-06,72.96,73.02,71.7,71.9,73.03,-1.13,-1.5473,8431.05,60687.799,1.7124,0.55,154.5737,2.2696,640692.157
688507.SH,2025-06-09,71.84,73.73,71.71,72.18,71.9,0.28,0.3894,10112.79,73462.618,2.054,0.86,155.1757,2.2784,643187.2029
