ts_code,trade_date,pe,pe_ttm,total_mv,circ_mv
688017.SH,20260708,576.3757,524.1732,7168206.91,7168206.91
688017.SH,20260707,685.5628,623.4712,8526132.9607,8526132.9607
688017.SH,20260706,669.215,608.604,8322819.8798,8322819.8798
688017.SH,20260703,719.3641,654.2111,8946508.88,8946508.88
688017.SH,20260702,608.8798,553.7334,7572449.7805,7572449.7805
688017.SH,20260701,624.9918,568.3861,7772829.5798,7772829.5798
688017.SH,20260630,615.9702,560.1817,7660631.5586,7660631.5586
688017.SH,20260629,533.0665,484.7865,6629583.0762,6629583.0762
688017.SH,20260626,544.6235,495.2968,6773313.8746,6773313.8746
688017.SH,20260625,576.3757,524.1732,7168206.91,7168206.91
688017.SH,20260624,564.8482,513.6898,7024842.7718,7024842.7718
688017.SH,20260623,557.9936,507.456,6939594.2753,6939594.2753
688017.SH,20260622,579.7809,527.27,7210556.1631,7210556.1631
688017.SH,20260618,601.4503,546.9768,7480051.4101,7480051.4101
688017.SH,20260617,562.5191,511.5716,6995876.616,6995876.616
688017.SH,20260616,554.5884,504.3592,6897245.0222,6897245.0222
688017.SH,20260615,549.2816,499.5331,6831246.1862,6831246.1862
688017.SH,20260612,517.4115,470.5494,6434886.51,6434886.51
688017.SH,20260611,540.9972,491.999,6728215.5875,6728215.5875
688017.SH,20260610,625.0213,568.413,7773197.3,7773197.3
688017.SH,20260609,619.3755,563.2785,7702981.8621,7702981.8621
688017.SH,20260608,631.2863,574.1105,7851112.6031,7851112.6031
688017.SH,20260605,579.324,526.8545,7204873.9125,7204873.9125
688017.SH,20260604,482.77,439.0454,6004061.5938,6004061.5938
688017.SH,20260603,464.1668,422.1271,5772698.976,5772698.976
688017.SH,20260602,451.0767,410.2226,5609901.825,5609901.825
688017.SH,20260601,423.5109,385.1534,5267074.4913,5267074.4913
688017.SH,20260529,451.0767,410.2226,5609901.825,5609901.825
688017.SH,20260528,466.0094,423.8028,5795615.2416,5795615.2416
688017.SH,20260527,473.1883,430.3315,5884897.0125,5884897.0125
688017.SH,20260526,498.941,453.7518,6205174.7409,6205174.7409
688017.SH,20260525,514.4633,467.8683,6398221.3625,6398221.3625
688017.SH,20260522,504.1446,458.4841,6269890.275,6269890.275
688017.SH,20260521,493.8258,449.0999,6141559.1875,6141559.1875
688017.SH,20260520,477.1094,433.8975,5933662.8258,5933662.8258
688017.SH,20260519,480.8094,437.2624,5979678.6871,5979678.6871
688017.SH,20260518,475.9596,432.8519,5919363.076,5919363.076
688017.SH,20260515,450.3397,409.5523,5600735.3188,5600735.3188
688017.SH,20260514,390.6383,355.2581,4858248.3125,4858248.3125
688017.SH,20260513,412.234,374.8979,5126826.9456,5126826.9456
688017.SH,20260512,403.7137,367.1492,5020862.1334,5020862.1334
688017.SH,20260511,399.483,363.3017,4968246.3875,4968246.3875
688017.SH,20260508,387.6754,352.5635,4821398.9574,4821398.9574
688017.SH,20260507,339.7522,308.9807,4225392.721,4225392.721
688017.SH,20260506,334.3422,304.0607,4158110.5651,4158110.5651
688017.SH,20260430,330.3768,300.4545,4108794.7615,4108794.7615
688017.SH,20260429,316.9477,288.2417,3941781.0176,3941781.0176
688017.SH,20260428,306.0983,278.3749,3806850.0456,3806850.0456
688017.SH,20260427,315.1641,286.6196,3919598.0725,3919598.0725
688017.SH,20260424,302.5752,275.1709,3763034.1458,3763034.1458
688017.SH,20260423,300.3788,273.1734,3735717.9571,3735717.9571
688017.SH,20260422,718.0367,322.862,4033079.4199,4033079.4199
688017.SH,20260421,696.2662,313.073,3910798.2265,3910798.2265
688017.SH,20260420,687.9431,309.3305,3864049.0446,3864049.0446
688017.SH,20260417,695.2217,312.6033,3904931.6625,3904931.6625
688017.SH,20260416,678.8367,305.2359,3812899.9398,3812899.9398
688017.SH,20260415,674.006,303.0638,3785767.0813,3785767.0813
688017.SH,20260414,675.3116,303.6508,3793100.2863,3793100.2863
688017.SH,20260413,662.5169,297.8978,3721234.8773,3721234.8773
688017.SH,20260410,665.8461,299.3947,3739934.55,3739934.55
688017.SH,20260409,650.4403,292.4676,3653402.731,3653402.731
688017.SH,20260408,664.051,298.5875,3729851.3931,3729851.3931
688017.SH,20260407,605.9853,272.4786,3403707.1008,3403707.1008
688017.SH,20260403,611.3381,274.8855,3433773.2413,3433773.2413
688017.SH,20260402,631.5746,283.9847,3547437.9188,3547437.9188
688017.SH,20260401,659.2856,296.4448,3703085.1949,3703085.1949
688017.SH,20260331,610.8812,274.68,3431206.6195,3431206.6195
688017.SH,20260330,624.2634,280.6972,3506371.9708,3506371.9708
688017.SH,20260327,612.5132,275.4138,3440373.1258,3440373.1258
688017.SH,20260326,614.6021,276.3531,3452106.2538,3452106.2538
688017.SH,20260325,613.525,275.8688,3446056.3596,3446056.3596
688017.SH,20260324,594.0066,267.0924,3336424.9449,3336424.9449
688017.SH,20260323,590.3836,265.4633,3316075.301,3316075.301
688017.SH,20260320,607.1603,273.0069,3410306.9853,3410306.9853
688017.SH,20260319,619.0084,278.3344,3476855.8206,3476855.8206
688017.SH,20260318,635.8178,285.8926,3571270.835,3571270.835
688017.SH,20260317,621.8154,279.5965,3492622.2114,3492622.2114
688017.SH,20260316,640.5505,288.0207,3597853.7031,3597853.7031
688017.SH,20260313,646.2624,290.589,3629936.475,3629936.475
688017.SH,20260312,668.1635,300.4367,3752950.9889,3752950.9889
688017.SH,20260311,681.1867,306.2925,3826099.7088,3826099.7088
688017.SH,20260310,704.3608,316.7127,3956264.0975,3956264.0975
688017.SH,20260309,680.0117,305.7642,3819499.8243,3819499.8243
688017.SH,20260306,693.4265,311.7961,3894848.5056,3894848.5056
688017.SH,20260305,695.1891,312.5886,3904748.3324,3904748.3324
688017.SH,20260304,689.3466,309.9616,3871932.24,3871932.24
688017.SH,20260303,684.059,307.5841,3842232.7598,3842232.7598
688017.SH,20260302,742.7122,333.9572,4171676.9944,4171676.9944
688017.SH,20260227,758.4444,341.0311,4260042.1146,4260042.1146
688017.SH,20260226,773.6545,477.511,4345473.9529,4345473.9529
688017.SH,20260225,772.251,476.6448,4337590.7575,4337590.7575
688017.SH,20260224,759.5215,468.788,4266092.0088,4266092.0088
688017.SH,20260213,791.1166,488.2889,4443555.5698,4443555.5698
688017.SH,20260212,765.3314,472.3739,4298724.771,4298724.771
688017.SH,20260211,746.7921,460.9312,4194593.26,4194593.26
688017.SH,20260210,747.4449,461.3341,4198259.8625,4198259.8625
688017.SH,20260209,738.0447,455.5322,4145460.7865,4145460.7865
688017.SH,20260206,709.5831,437.9652,3985596.9175,3985596.9175
688017.SH,20260205,669.5018,413.2264,3760467.524,3760467.524
688017.SH,20260204,706.6782,436.1723,3969280.5364,3969280.5364
688017.SH,20260203,734.3565,453.2557,4124744.4824,4124744.4824
688017.SH,20260202,715.7193,441.7526,4020062.981,4020062.981
688017.SH,20260130,747.4449,461.3341,4198259.8625,4198259.8625
688017.SH,20260129,693.4592,428.0133,3895031.8358,3895031.8358
688017.SH,20260128,687.1924,424.1453,3859832.4518,3859832.4518
688017.SH,20260127,721.3333,445.2176,4051595.7625,4051595.7625
688017.SH,20260126,667.1517,411.7759,3747267.755,3747267.755
688017.SH,20260123,705.699,435.5679,3963780.6326,3963780.6326
688017.SH,20260122,690.9786,426.4822,3881098.7463,3881098.7463
688017.SH,20260121,701.7496,433.1303,3941597.6875,3941597.6875
688017.SH,20260120,706.4497,436.0312,3967997.2255,3967997.2255
688017.SH,20260119,699.628,431.8208,3929681.2294,3929681.2294
688017.SH,20260116,719.7013,444.2104,4042429.2563,4042429.2563
688017.SH,20260115,655.63,404.6646,3682552.2209,3682552.2209
688017.SH,20260114,652.7903,402.9119,3666602.5,3666602.5
688017.SH,20260113,669.1101,412.9847,3758267.5625,3758267.5625
688017.SH,20260112,646.2624,398.8828,3629936.475,3629936.475
688017.SH,20260109,638.7553,394.2493,3587770.5463,3587770.5463
688017.SH,20260108,623.4148,384.7809,3501605.3875,3501605.3875
688017.SH,20260107,623.0231,384.5391,3499405.426,3499405.426
688017.SH,20260106,652.1375,402.509,3662935.8975,3662935.8975
688017.SH,20260105,623.6106,384.9017,3502705.3683,3502705.3683
688017.SH,20251231,627.0051,386.9969,3521771.7013,3521771.7013
688017.SH,20251230,623.7412,384.9823,3503438.6888,3503438.6888
688017.SH,20251229,571.2242,352.568,3208460.5176,3208460.5176
688017.SH,20251226,553.1745,341.4275,3107078.9585,3107078.9585
688017.SH,20251225,545.8633,336.9149,3066013.0105,3066013.0105
688017.SH,20251224,521.4163,321.8259,2928698.7469,2928698.7469
688017.SH,20251223,510.3188,314.9764,2866366.5044,2866366.5044
688017.SH,20251222,520.1107,321.02,2921365.5419,2921365.5419
688017.SH,20251219,503.1055,310.5242,2825850.5468,2825850.5468
688017.SH,20251218,495.3373,305.7295,2782217.977,2782217.977
688017.SH,20251217,504.8028,311.5718,2835383.7133,2835383.7133
688017.SH,20251216,491.8122,303.5538,2762418.3235,2762418.3235
688017.SH,20251215,501.5714,309.5773,2817234.0309,2817234.0309
688017.SH,20251212,501.0166,309.2349,2814117.4188,2814117.4188
688017.SH,20251211,502.1263,309.9198,2820350.643,2820350.643
688017.SH,20251210,516.5856,318.8443,2901565.8884,2901565.8884
688017.SH,20251209,515.0189,317.8773,2892766.0424,2892766.0424
688017.SH,20251208,518.7072,320.1538,2913482.3465,2913482.3465
688017.SH,20251205,514.0397,317.273,2887266.1386,2887266.1386
688017.SH,20251204,500.07,308.6507,2808800.8451,2808800.8451
688017.SH,20251203,474.7418,293.0177,2666536.6681,2666536.6681
688017.SH,20251202,471.282,290.8822,2647103.6749,2647103.6749
688017.SH,20251201,489.2664,301.9825,2748118.5738,2748118.5738
688017.SH,20251128,479.5724,295.9992,2693669.5266,2693669.5266
